avenida||verbo divino|verbo divino|27345220|145,-2254501,-4417791;155,-8,-15;164,-9,-4;165,0,-19;177,-17,-7;189,-8,0;190,9,20;200,-16,-9;209,3,-28;216,-9,13;219,3,-9;233,-9,-8;236,-24,-3;237,21,-11;251,-12,13;252,-7,-9;253,2,-2;271,-3,-11;285,-25,21;290,6,-40;326,-11,14;356,25,-6;366,-34,2;379,-23,74;380,-30,-58;386,-3,-6;389,-2,11;392,-17,-8;395,11,16;411,-6,0;424,-38,-9;427,-45,111;440,31,-104;447,-2,5;450,1,-3;460,-1,16;462,-7,-1;463,8,15;467,-34,-10;472,8,11;480,2,5;505,0,0;516,-16,7;536,-27,18;542,-11,4;555,7,-4;562,-4,21;583,-51,41;604,38,-31;618,-14,8;630,0,14;631,9,4;685,-47,14;701,7,8;705,-3,16;717,1,29
contorno||sem denominacao|barbara|27330052|71,-2254871,-4415742
escadao||sem denominacao|ano bom|27325001|70,-2253392,-4414414;3343,7,-2;3345,19,2
estrada||da grama bifurcacao a direita|vila principal|27310000|2180,-2257372,-4415003
estrada||da lagoinha lado direito|fazenda do salto|27330030|82,-2249868,-4429106;84,6,-5;90,-5,4;92,-142,87;96,-43,-29
estrada||perimetral faz sta isabel lado direito|colonia|27330030|535,-2253150,-4423501;540,32,4;712,139,0;800,126,59;1052,180,-70;1062,41,-7;1115,42,0
estrada||perimetral faz sta isabel lado direito|colonia|27350000|1126,-2252581,-4423505
estrada||sem denominacao|colonia santo antonio|27353000|1915,-2254380,-4421489;2853,507,-220
ferrovia||sem denominacao|santa clara|27340410|32,-2257769,-4417095;2003,-110,10;2251,-7,9
margem|presidente|dutra|boa sorte|27338070|90,-2256240,-4415809;96,-1,-86;101,38,172;108,-23,56;110,-2,26;268,-46,-336;269,80,267
margem|presidente|dutra|sao genaro|27338070|269,-2258717,-4418454
rodovia|engenheiro|alexandre drable|cotiara|27345500|1568,-2255196,-4418671;1574,-6,-3;1586,-14,1;1598,-14,-11;1606,-6,8
rodovia|presidente|dutra|boa sorte|27343000|68,-2256163,-4416148
rodovia|presidente|dutra|boa vista i|27332000|110,-2256161,-4412035;120,31,31
rodovia|presidente|dutra|cantagalo|27350000|273,-2254511,-4418832;951,737,-673
rodovia|presidente|dutra|cotiara|27343000|273,-2254587,-4418407;274,98,-283;1009,-398,323
rodovia|presidente|dutra|cotiara|27347000|76,-2255006,-4418248;150,-16,7
rodovia|presidente|dutra|fazenda do salto|27365003|96,-2246956,-4427966;112,33,-22;213,-9,-62;214,42,28;218,17,6;225,-48,-49;228,35,34;235,-29,-40;242,40,30;285,-27,-44;287,8,-8;315,32,-22
rodovia|presidente|dutra|floriano|27343000|179,-2245375,-4429985;635,-80,-283;637,35,-78;639,-40,79
rodovia|presidente|dutra|floriano|27350000|1,-2246497,-4428760;2,3,0;3,38,-114;4,0,3;5,2,-19;6,-3,4;115,62,-650;284,-2312,4074;288,2388,-3369;610,-1822,2914;1182,477,-87;551182,1390,-2862
rodovia|presidente|dutra|floriano|27365003|470,-2246736,-4428183;480,38,-44;496,-8,3
rodovia|presidente|dutra|moinho de vento|27337000|261,-2258544,-4410860
rodovia|presidente|dutra|monte cristo|27343000|1,-2255999,-4417207;23,-213,133;25,1,3;26,3,1;27,-5,0;46,-62,246;47,61,-53;49,-2,-3;50,107,405;53,-187,-337;54,-34,-82;56,22,81;57,2,8;95,16,15;100,164,247;102,0,-1;106,166,-519;107,-169,525;270,-219,-438;274,173,-134;278,-18,0;500,-70,-47;510,11,24;841,15,261;891,-11,-37;897,-4,-1;900,99,-202;910,-149,76;920,5,-7;927,44,-77;937,116,180;955,-97,-103;960,-53,-13;963,74,-14
rodovia|presidente|dutra|rialto|27332000|260,-2258895,-4409845
rodovia|presidente|dutra|rialto|27350000|262,-2258349,-4410953
rodovia|presidente|dutra|rialto|27365000|160,-2251246,-4421200;271,-172,-23;275,-524,245;1450,1066,-922;1540,0,1;1560,-7,0;1640,-9,10;1646,-21,38;1658,-236,225;1660,-3,6
rodovia|presidente|dutra|rodovia presidente dutra km 261|27332000|262,-2258495,-4410835
rodovia|presidente|dutra|sao luis|27343000|3,-2256232,-4416620;185,16,35;187,65,198;195,-66,-223
rodovia|presidente|dutra|vila principal|27332000|103,-2256230,-4414496
rua|padre|luiz santana maria diez|jardim vista alegre|27320000|16,-2251032,-4419681;18,4,-7;22,-7,2;54,29,33;64,-6,6;80,2,13;96,9,3;98,-2,10;104,10,4;106,8,9
rua|padre|luiz santana maria diez|jardim vista alegre|27320070|127,-2250979,-4419590;137,2,12;905,-4,-28;923,-36,-65
rua||antonio dalmeida|saudade|27313090|10,-2252968,-4418962;21,19,32;22,-12,-8;111,32,36;121,6,15;135,9,0;149,10,21;150,-1,-6;157,16,16;158,-11,2;166,30,-8;174,-2,23;175,-16,-3;179,3,2
rua||benedito antonio dias|sao pedro|27340070|3,-2257353,-4417638;4,-43,-14;22,-8,23;55,51,-82;60,-49,67;70,34,-17;80,-19,-60;90,3,61;93,90,-91;108,-86,54;109,3,-14;110,4,-21;155,70,-27;371,-98,124
rua||dezenove|colonia santo antonio|27353320|1,-2254066,-4422713;11,-7,3;12,7,-11;21,-11,19;22,-5,-21;31,6,-12;32,6,-4;41,-11,-4;42,4,1;51,-3,-7;52,0,-1;61,-7,-7
rua||dezesseis|colonia santo antonio|27353290|1,-2253985,-4422747;2,-5,12;11,-1,-5;12,-1,-2;21,-2,-10;22,-2,-3;31,0,-7;32,2,-3;41,-2,-8;42,-4,6;51,0,-4;52,-3,-1;61,3,-3;62,1,-5
rua||dezessete|colonia santo antonio|27353300|1,-2254013,-4422727;2,0,-3;11,-2,1;12,-3,-12;21,-3,-2;22,-1,-3;31,-8,-3;32,3,1;41,3,-5;42,-3,7;51,-2,-16;52,3,-5;61,3,-3;62,-4,0
rua||dezoito|colonia santo antonio|27353310|1,-2254046,-4422721;2,3,-2;11,3,-6;12,-10,1;21,3,-4;22,0,-6;31,0,-7;32,-1,5;41,-1,-10;42,-1,0;51,0,-4;52,-6,2;61,1,-10;62,3,1
rua||dez|colonia santo antonio|27353110|49,-2253747,-4421833;53,-9,3;59,12,-3;65,25,-11;66,48,-4;69,-68,21;70,55,-22;71,-44,10;72,0,-1;75,16,-7;82,-4,11;92,9,-3;94,5,-5;96,3,1;98,10,-2;102,5,-5;104,-8,7;119,-10,-4;143,12,-5;145,-18,5;147,17,-1;149,10,-2;159,7,-4;169,9,-1;179,8,-8;190,17,3;191,-1,-6;197,11,0;210,0,-8;220,4,0;229,-4,2;230,10,-5;240,3,4;250,14,-7;255,-8,2;257,-10,3;259,20,-2;261,6,-4;270,3,-3;280,7,0;290,10,2
rua||dez|colonia santo antonio|27353230|1,-2253980,-4422703;2,3,3;11,-1,2;12,-2,3;21,0,7;22,-1,1;31,3,-4;32,-4,10;41,13,3;42,-5,-3;51,3,7;52,1,5;61,-8,6;62,9,0
rua||dez|vale do paraiba|27353230|143,-2253035,-4414480;145,-9,-1;151,23,8
rua||dois|cajueiro|27333420|4,-2253787,-4413184;6,-5,10;12,3,3;18,-5,4;24,-1,14;30,0,1;36,-7,9;42,5,1;54,-14,27;60,2,-4;66,-8,11;72,2,7;78,-7,20;82,-5,-2;100,-70,49;102,-8,2;108,-6,11;114,-8,3;120,-92,53;126,-9,13;132,-3,-1;138,-3,9;144,-11,2;150,11,13;162,-7,18;168,-7,7;170,0,0;174,-5,13;180,-2,3;192,-3,10;198,-11,40;210,8,-8;216,-7,10;222,-2,2;228,0,14
rua||dois|cajueiro|27333430|133,-2253874,-4413049;139,-13,-3;145,-3,4;151,-10,13;157,-5,7;163,-8,1;169,-4,9;175,-7,-6;181,-4,5;187,-11,11;193,2,1;199,-7,0;205,-2,1;211,-10,7;217,-10,7;222,-92,139;223,87,-135;229,-1,-1;235,-11,10;241,-1,1;247,-12,3;253,-3,0;257,-5,5;259,-8,6;265,-1,3;270,-14,9;271,8,2
rua||dois|colonia santo antonio|27351450|10,-2253467,-4420808;15,17,-18;16,-1,29
rua||dois|colonia santo antonio|27353150|11,-2254196,-4422635;21,6,9;31,-7,3;41,6,5;51,8,11;61,3,1
rua||dois|floriano|27365270|33,-2246216,-4428729;49,-27,-13;59,-7,-7;69,-12,-14
rua||dois|sao domingos|27350680|20,-2255538,-4419948;50,-11,4;60,-42,-7;66,6,-7;75,-6,4;78,4,0;90,-10,1;100,-8,-6;116,2,1;118,-18,-5;120,20,2;130,-13,0;167,58,13;168,-15,-4;169,-38,-1;178,-14,-4;190,-37,6;195,122,8;196,-115,-5;197,-2,-4;198,-7,-5;199,-9,12;200,1,1;201,2,-6
rua||dois|vila brigida|27336300|16,-2252826,-4418446;25,70,47;30,-202,27;35,191,-14;47,1,14;48,-31,-8;50,31,-7;51,18,15;52,-21,7;55,0,22;57,-3,-3;60,-11,65;61,13,-61;70,-9,-13;72,-12,19;82,28,-14;84,-1,14;97,19,-29;104,-11,34;105,-13,25;120,2,0;142,-2,7
rua||dois|vila natal|27332000|3,-2254226,-4413022;5,2,12;7,1,8;9,3,6;11,6,7;13,-8,2;15,10,9;17,1,5;19,-9,-12;20,-7,-29;21,18,61;22,-7,-59;24,-11,6;26,1,4;27,19,58;28,-18,-60;29,18,65;30,-13,-53;34,-2,-10;42,18,42;44,-10,-3;46,8,7;48,5,3;50,1,16;52,10,1;54,-10,4;55,-9,-4;56,7,13;57,15,-3;76,-29,-45
rua||domingo jose dantas|boa sorte|27330400|87,-2255699,-4415790;95,-1,-4;109,10,0;121,4,-4;133,15,-4;147,14,-1;169,28,-1;173,1,-5;177,17,-3;187,-11,-3;209,20,-2;215,11,-11;219,4,9;223,14,-1;225,-10,-4;227,15,3;229,19,-1
rua||domingo jose dantas|boa sorte|27335400|7,-2255771,-4415723;9,18,7;11,4,-3;19,3,-20;41,16,-20;43,-2,-5;45,7,2;47,-2,3;51,1,-12
