avenida|tenente|jose eduardo|ano bom|27323240|2,-2254113,-4416931;8,-6,-17;14,7,0;20,0,0;26,-26,-18;30,10,-3;33,-9,35;35,34,-31;37,1,-5;39,171,-227;41,-187,249;43,294,-430;45,-266,415;49,4,-10;51,18,-7;55,302,-434;57,-30,-3;61,-269,429;65,280,-420;67,-14,5;69,2,15;104,-18,2;200,-38,62;207,-11,31;209,4,6;211,-11,3;213,3,-1;221,8,3;233,-12,15;273,-3,31;285,-5,-3;291,-18,12;293,-7,8;295,1,4;307,3,36;327,3,69;329,-10,-6;331,11,-46;333,9,21;413,-44,38;425,-3,6;441,-8,9;451,-8,-1;453,-23,7;459,-14,42;461,25,-32;471,-12,16;535,-30,33;550,-30,8;560,-3,6;585,-18,-2
estrada||da lagoinha lado esquerdo|fazenda do salto|27330030|21,-2251498,-4427657;26,-21,-838;31,-1718,-454;76,3583,244;85,64,-263;1500,-2621,1187
estrada||para fazenda boa esperanca|pombal|27321575|4000,-2249787,-4427655
estrada||para fazenda boa esperanca|pombal|27333392|4010,-2249827,-4427648
estrada||para fazenda boa esperanca|rialto|27321575|3800,-2249660,-4427138
estrada||perimetral faz sta isabel lado esquerdo|colonia|27330030|425,-2252972,-4423660;435,18,-4;445,0,-1;513,-16,-2;535,-169,167;593,264,-201;950,113,203
estrada||perimetral faz sta isabel lado esquerdo|colonia|27350000|2179,-2251857,-4423470
rua||boa esperanca|aiuruoca|27320600|23,-2250622,-4419716;28,8,4;33,-24,3;38,17,-5;43,-21,9;48,14,7;53,-24,4;58,15,-1;63,-4,7;68,1,-3;72,-12,4;73,-16,3;78,11,2;80,-8,10;83,-14,-3;123,-23,14;130,2,9;133,-15,-2;140,11,-1;143,-19,8;150,10,11;151,-19,-8;153,-13,-2;160,32,11;163,-27,7;170,17,-5;172,-8,-3;173,-14,12;183,-9,-6;193,6,-2;203,-40,35;210,-37,22;213,42,-32;221,-14,8;223,-21,7;233,62,-44;250,-38,41;252,10,-9;253,-30,9;260,55,-26;263,-52,38;273,-21,5;283,-13,5
rua||boa esperanca|vila coringa|27321290|4,-2253002,-4418046;6,25,-10;11,162,231;22,-142,-236;23,6,34;30,6,-30;34,-13,5;35,-1,4;36,12,19;38,-7,5;40,-2,22;41,6,-10;42,-6,18;44,12,-44;45,-11,33;48,20,-24;51,-16,19;52,-10,24;53,12,-60;55,-4,51;61,-11,20;66,1,-6;67,31,-54;72,14,9;73,-4,-9;83,11,6;89,7,6;90,371,-124;102,-390,145;106,30,-25;116,0,12;121,11,-1;131,-9,4;134,0,8;135,2,11;137,3,7;139,11,-14;140,-2,1;155,21,16;156,-16,3;157,18,-6;163,-4,1;164,-22,9;165,16,-2;168,2,9;175,-2,-9;176,-1,15;178,-4,11;183,18,-15;191,-2,3;197,-1,2;201,19,31;210,-25,-11;212,-1,10;213,23,4;216,-15,-4;230,11,9;231,-2,-9;236,1,14;238,6,9;241,-3,-5;249,27,-3;253,-4,7;257,-2,3;262,-11,7;276,10,-8;278,6,20;282,-8,13;296,-5,7;297,5,10;301,2,-8;304,11,3;308,-7,23;309,3,-2;315,2,-1;316,-10,10
rua||da estacao|antonio rocha|27340670|1,-2264765,-4415306;2,7,90;3,-1,-9;200,-229,-124;573,230,141;581,2,7;583,-6,-6;584,8,24;594,3,-2
rua||dos eucaliptos|moinho de vento|27331000|22,-2258856,-4411079;490,2,9;500,11,21;510,9,12
