alameda||fernando teixeira filho|saudade|27350340|1,-2253146,-4418886;2,4,-20;3,-1,4;5,3,-8;7,-12,8;9,11,-23;12,-14,-23;16,9,-7;1075,0,21
avenida|prefeito|joao chiesse filho|centro|27345180|100,-2254036,-4417884;191,71,-70;192,-1,-2;241,43,-58;312,87,-102;367,-75,88;369,1,8;371,15,-18;381,-1,5;391,11,-20;395,-2,-15
avenida|prefeito|joao chiesse filho|jardim boa vista|27345180|1100,-2253778,-4418215;1102,-13,-27
avenida||cristiano dos reis meireles filho|jardim vista alegre|27320010|10,-2251654,-4419225;12,-5,-17;20,0,-9;32,34,30;38,4,1;48,4,-3;58,13,0;60,-1,-9;64,3,7;65,11,-41;73,-8,38;75,-1,0;83,10,3;87,2,2;90,-3,-18;95,22,15;96,-20,-9;102,24,3;105,0,5;106,-9,-3;118,13,-2;124,4,6;128,2,-2;135,21,-4;138,1,6;146,5,-1;153,7,-5;154,1,-7;160,5,10;163,3,-15;171,11,10;172,-8,7;177,19,-10;181,-10,1;182,0,5;183,6,-4;185,10,-2;187,1,1;189,11,0;191,11,2;192,-32,1;204,24,22;205,33,-24;206,-33,2;212,9,-3;215,31,-3;218,-31,6;225,30,-3;244,-9,-4;254,-1,6;262,6,-10;268,14,-6;269,3,1;272,0,5;276,3,-3;280,-2,-5;284,13,-2;293,0,0;296,2,-4;307,3,-1;316,1,-4;317,2,-1;322,13,-2;324,5,6;326,-5,-5;327,8,0;329,8,-2;332,12,18;341,-9,-29;346,-4,-17;349,7,11;352,7,-3;366,-2,3;373,13,-12;378,6,-3;383,-6,-7;386,2,1;388,13,1;392,-2,-15;393,3,8;394,15,-11;403,-3,3;406,-3,-5;407,-2,11;416,7,-10;418,3,-2;419,-31,-13;422,32,17;426,13,-6;428,-7,-9;431,9,6;440,2,-13;445,-23,3;447,33,13;452,4,-30;455,-65,18;457,68,-9;460,1,-8;467,0,-1;471,-31,30;477,35,-35;480,-1,-10;483,12,4;485,8,-8;487,-14,16;492,3,-1;495,7,-23;497,5,-4;498,-6,16;505,10,-18;506,5,4;516,3,1;519,5,-12;530,-3,-2;538,11,-20;550,10,-1;557,-3,1;565,3,-2;575,20,1;576,-9,-11;586,12,-6;587,-2,5;598,7,-11;599,-6,-2;602,4,11;604,4,-10;608,6,-6;609,-4,-6;612,11,2;618,4,-4;621,-11,-9;632,22,-4;640,-5,-2;643,-3,4;645,6,3;650,9,-12;651,-11,-16;653,8,-12;654,7,19;655,-20,-36;657,8,18;658,14,16;659,6,14;666,-1,-15;670,20,-18;675,-3,2;684,11,-11;685,-8,10;689,2,-1;697,4,-9;699,4,5;702,8,-13;707,-3,7;708,6,4;709,-5,-5;712,13,-6;725,4,-4;727,-18,-22;736,10,5;757,31,37;773,-13,-33;775,-1,-11;779,10,7;781,9,-5;786,-9,3;793,10,-1;796,-6,-15;797,5,7;800,7,-5;806,6,-4;807,-3,-1;817,25,8;823,8,1;826,-6,-24;827,18,4;829,-11,5;834,-7,-8;836,-1,-21;845,20,26;848,-11,0;857,16,-9;858,-1,-5;866,10,-6;872,8,24;902,-2,-32;904,5,1;910,10,-7;916,4,-8;922,1,0;926,12,-14;928,1,0;932,9,21;940,-1,-29;954,13,4;960,10,10;970,4,-18;980,0,-5;1006,13,-11;1016,13,-5;1024,15,-8;1026,-5,8;1028,11,1;1032,-6,-9;1034,11,-14;1036,11,7;1038,-16,-8;1042,10,9;1046,10,2;1048,0,-7;1056,-3,-5;1060,7,-6;1064,4,-3;1066,0,-8;1076,9,5;1078,-5,-5;1090,31,8;1096,-10,-24;1106,3,-3;1116,16,6;1124,2,-4
avenida||cristiano dos reis meireles filho|jardim vista alegre|27320011|143,-2250671,-4419959;148,-1,22;969,-264,302;973,11,-7;979,1,0;983,1,-6;991,11,0;1001,2,-6;1013,4,2;1015,3,5;1017,1,2;1019,10,-15;1021,10,0;1025,9,-13;1035,13,-9;1047,8,7;1055,12,-15;1059,4,1;1069,4,1;1079,6,-6;1089,5,-16;1091,25,1;1111,-4,-19;1148,16,-6;1153,10,-2;1158,-1,12;1161,6,-12;1163,13,0;1170,-8,-2;1171,0,-1;1182,8,-12;1185,6,1;1188,-3,1;1190,7,0;1193,1,-11;1198,0,5;1205,1,-26;1208,10,15;1217,5,-29;1220,-6,28;1229,14,-30;1231,1,3;1234,-8,17;1242,18,-5;1248,-20,11;1254,14,-23;1261,-1,-11;1262,13,10;1267,-13,-19;1271,12,-4;1274,3,13;1279,-3,-24;1282,0,16;1290,6,-18;1291,-1,-11;1294,-6,25;1299,-5,-29;1300,12,13;1308,18,-8;1313,-12,-9;1315,1,-12;1318,1,3;1324,1,-7;1325,-1,-2;1334,-2,-1;1337,3,-6;1338,1,1;1340,13,-7;1345,-12,-13;1346,2,9;1350,7,-5;1357,1,-2;1362,8,-2;1367,-17,-20;1369,10,8;1370,18,-5;1373,-14,1;1374,-6,-3;1376,19,-3;1402,-9,-35;1406,-1,-5;1421,-5,10;1422,17,-29;1433,-14,15;1434,-2,-14;1441,1,2;1442,9,-17;1451,-4,17;1452,-1,-21;1457,-2,13;1463,-2,-14;1464,12,-20;1469,-10,8;1473,4,-3;1474,14,-8;1475,-14,-2;1486,1,-16;1491,7,14;1498,6,-16;1501,-7,-13;1504,-4,0;1514,-2,-4;1517,5,0;1524,-1,-20;1525,-8,-2;1529,-10,-2;1534,17,-2;1537,-9,1;1542,5,-8;1549,2,2;1550,7,-12;1559,-12,0;1564,11,-1;1565,-15,-7;1567,14,-7;1570,1,5;1579,-7,-18;1580,3,-1;1587,-2,-10;1589,-1,-6;1590,1,19;1592,0,-13
avenida||jose jorge dos reis meireles filho|jardim vista alegre|27320001|1062,-2250939,-4419673;1064,3,2;1074,11,-19;1086,12,0;1098,1,0;1126,33,-16;1154,18,-18;1172,10,-12;1176,3,-6;1182,4,-8;1194,16,-10;1198,2,-6;1465,111,-207;1473,2,-10;1479,-8,-16;1481,-2,-5;1493,12,-18;1501,-1,-6;1513,4,-9;1523,-5,-17;1533,9,5;1537,-2,-12;1541,-13,-7;1557,10,-5;1561,0,-10;1595,-2,-17;1607,-3,-15;1617,8,1;1621,-1,-20;1625,-7,11
entrada|governador|chagas freitas|colonia santo antonio|27353000|7,-2254380,-4423406;4228,121,473;4250,-2,-28;4260,-10,-34;4270,-1,-5;4280,16,-34;4720,-124,-380;4748,-1,-2;4764,-16,-36;4784,-11,-32;4800,-6,-16;4814,-5,3;4824,-17,-5;4950,-47,-59;4954,14,-84;4956,-33,14;4958,10,-1;4960,-28,-62;5082,-9,-41;5084,-4,3;5086,-11,-15;5130,-16,-34;5152,-4,-14;5286,-41,-80;5378,-11,-149;5382,-2,21;5600,-97,-113;5650,-34,-157;5652,-67,-202
estrada|governador|chagas freitas|cantagalo|27351720|932,-2253716,-4419499;946,-16,-17;950,-5,-9;960,-14,-3;966,-1,-10;970,-5,-6;972,-2,-4;992,-3,-9
estrada|governador|chagas freitas|colonia santo antonio|27351720|5,-2253535,-4419702;65,-189,108;68,-3,5;72,24,-28;78,-1,36;88,10,-20;104,11,-13;107,-7,11;108,-7,-7;109,13,-8;110,7,2;113,1,1;115,-2,4;119,2,-13;120,-12,11;122,18,-15;125,14,-1;129,4,21;130,14,-26;134,-20,3;139,4,-9;140,0,12;149,-2,-9;150,6,5;151,-4,2;161,27,-5;162,-6,0;172,8,-17;190,12,3;192,10,-2;199,-4,-8;211,1,-13;213,4,10;215,50,10;217,-46,-21;220,-3,11;223,28,-8;230,-23,11;231,21,-15;233,9,15;240,-17,-18;242,0,1;249,11,-26;250,-3,24;251,-21,-31;252,27,31;253,-9,-30;254,12,32;256,28,12;260,-9,-26;261,-25,-11;265,21,13;267,-19,-8;270,48,-16;272,-14,31;279,-5,-14;280,0,-4;281,13,-5;283,-5,-16;290,17,13;294,15,-4;306,5,-10;312,-4,-3;320,26,-21;322,8,-5;323,-39,16;341,-1,8;343,-3,0;345,17,-10;347,17,0;367,-10,-8;369,0,-16;371,15,-5;373,-11,-2;375,-22,9;379,-10,-23;381,25,-14;385,1,-4;395,-5,5;399,20,-1;419,-13,-25;427,-13,-2;437,2,-27;453,-6,4;470,47,-69;493,-61,52;503,9,-23;509,0,-9;513,1,7;519,-19,-14;529,-2,-23;533,-38,-18;567,7,5;577,5,-14;579,8,3;591,-3,-17;610,27,14;611,-28,-27;620,11,-1;621,-19,-13;625,1,3;631,-1,-11;640,-6,-45;641,3,31;642,-12,-50;673,0,19;683,-3,-3;693,-5,-13;703,3,-10;713,-4,-4;748,-1,-18;752,-3,13;756,-14,-26;758,-8,1;760,18,25;768,2,1;777,-61,-63;778,35,17;786,1,-59;787,-4,45;788,0,-27;798,110,41;803,-112,-25;813,-18,-9;819,16,-12;829,1,-9;835,-6,-8;841,5,-9;873,-12,-17;880,24,-31;881,-11,15;883,-4,-2;909,3,-30;947,7,-49;957,0,-12;967,6,-18;977,2,-16;987,2,-15;1003,2,-4;1025,8,-3;1035,0,-2;1043,-7,-14;1049,3,-16;1051,-1,-6;1053,-20,41;1058,42,-45;1059,-14,-7;1065,-1,-80;1090,30,77;1094,1,-32;1115,-15,14;1121,-21,-16;1124,22,-17;1127,-6,0;1134,51,-8;1135,-48,7;1157,-26,-11;1163,28,-4;1175,-12,-21;1177,8,9;1195,-5,-18;1208,15,4;1218,16,-8;1223,-30,-13;1227,6,-2;1228,1,1;1234,-2,-10;1236,-6,-13;1238,18,-3;1242,-2,-5;1243,-18,15;1245,1,-11;1248,26,-2;1252,6,78;1256,-16,-17;1258,10,-84;1259,-15,18;1268,28,-20;1285,-24,7;1289,4,-30;1307,4,-9;1317,-3,-8;1331,10,-13;1333,-2,-7;1334,21,11;1350,19,-30;1360,-19,-19;1380,11,-18;1390,9,-22;1610,24,-56;1620,-17,-4;1630,19,-5;1671,45,-123;1801,21,-71;1820,7,-8;1831,-5,-15;1876,19,-126;2264,-81,-242;2274,-15,-15;2510,-89,-115;2512,2,-4;2520,-12,3;2530,30,-20;2550,-51,-11
estrada|governador|chagas freitas|colonia santo antonio|27353000|8,-2253742,-4421754;211,105,162;1871,217,520;1873,0,-6;1881,0,-12;1885,1,-9;2001,0,-22;2007,-1,-10;2247,-57,-203;2257,-6,-18;2265,-14,-29;2547,-136,-173;2599,-22,-35;2600,11,-29;2601,-11,26;2605,-11,-12;2625,-23,-17;2627,2,-15;2637,-8,-13;2667,-10,-6;2700,-81,-183;2783,74,170;2785,-9,-29;2793,-18,-9;2795,-73,-20;2797,58,-4;2800,36,26;2810,-7,-5;2820,-18,-9;2843,-43,-72;2900,34,31;3000,-56,-101;3030,-14,-32;3044,-42,-104;3070,-8,-13;3100,12,-61;3172,-50,-22;3180,-5,-16;3222,11,-44;3284,-26,-38;3286,-41,-71;3309,178,454;3353,-272,-496;3361,-111,-102;3709,-18,-29;3720,29,-30;3729,-28,4;3730,26,-34;3740,119,196;3750,-131,-216;3780,-33,-60;3891,-69,-21;3971,30,-63;4041,-5,-100;4079,0,-28;4125,-1,-97;4335,-72,-182;4337,0,-1;4377,-21,-41;4449,-22,-89;4499,3,4;4563,-8,-92;4575,10,-24;4589,-7,-11;4597,-3,-10;4627,2,-15;4635,3,-2;4649,-10,-23;4667,2,-16;4683,-6,-11;4697,-2,-13;4705,0,-15;4735,-9,-22;4775,-21,-17;4795,8,-14;4813,-7,-10;4815,-6,-4;4817,-16,-22;4819,16,9;4829,-21,-24;4855,-16,-12;4869,0,-14;4917,-20,-35;4925,-3,-9;4945,-14,-24;4953,-2,-10;5075,-26,-98;5077,-21,2;5083,-8,-32;5085,16,24;5087,-19,-45;5089,38,-16;5143,-49,1;5145,-1,-13;5147,-14,-5;5149,3,-7;5191,-16,-8;5205,1,-15;5215,-11,-10;5227,-4,-5;5257,-20,-30;5317,-7,-36;5335,-3,-7;5351,-3,-19;5355,5,-2;5381,4,-29;5387,-2,-8;5415,-13,-29;5445,-14,-31;5455,-5,1;5465,-5,-13;5485,-16,-16;5495,-16,-4;5515,-11,-18
estrada|governador|chagas freitas|colonia|27353000|2233,-2253940,-4422133;2901,129,286;3011,-25,-58;3021,-54,-42;3041,12,-42;3101,-43,-8;3131,11,-68;3221,-29,-64;3243,-16,-36;3271,-6,-14;3309,-29,-18;3349,-8,-20;3351,-20,-42;3355,-29,-17
