avenida||rio de janeiro|colonia santo antonio|27353004|1,-2254197,-4422754;2,-5,7;3,92,-33;4,-81,31;5,6,-8;6,-2,8;7,7,-12;8,-5,12;9,16,-8;10,-8,7;11,13,-15;12,-7,12;13,14,-10;14,-6,3;15,13,-3;16,-7,4;17,13,-7;18,-7,2;19,14,-13;20,-15,13;21,19,-19;22,-9,14;23,43,-11;24,-38,10;25,20,-12;26,-7,10;27,31,-15;28,-19,18;29,31,-19;30,-24,16;31,26,-20;32,-19,18;33,27,-15;34,-23,13;35,35,-13;36,-28,6;37,43,-17;38,-37,18;39,44,-19;40,-35,16;41,39,-20;42,-37,19;43,48,-16;44,-33,16;45,37,-22;46,-33,19;47,46,-19;48,-44,18;49,48,-24;50,-35,25;51,36,-31;52,-30,25;53,38,-18;54,-30,16;55,38,-21;56,-35,20;58,-1,2;60,8,-8;62,8,5;64,10,-9;66,6,-12;68,7,8
estrada||fazenda santa rita jacare|antonio rocha|27340002|2862,-2263490,-4414934;2960,69,196;2961,11,3;2965,-14,-29;2967,10,22;2980,-21,-32;2981,-25,-76;3020,20,64
estrada||fazenda santa rita jacare|antonio rocha|27365003|143,-2263861,-4415804;256,475,1373;2400,-460,-908;2430,10,48;2500,36,32;2681,91,257;2683,-20,6;2688,98,46;2702,-256,-553;2708,501,1086;2800,-513,-1031;2820,395,463;2860,-392,-448;2900,158,236;2902,145,125;2939,167,407;2951,1,25;2954,13,120;2958,-38,41;2969,32,-185;2997,0,59;3000,36,224;3003,-35,-652;3017,113,519;3019,-2,-6;3023,-1,-20;3063,5,-67;3067,5,-6;3071,13,-21;3229,-21,71;3298,2,-36;3302,8,-15;3400,-277,-436;3410,70,65;3411,-26,-37;3649,220,438;4007,84,-58
estrada||para fazenda bom jardim|vila pepita|27321575|650,-2258658,-4416242
estrada||para fazenda bom jardim|vila pepita|27323786|650,-2258638,-4416284
estrada||para fazenda bom jardim|vila pepita|27333393|650,-2258652,-4416238
estrada||para fazenda bom jardim|vila pepita|27334000|650,-2258925,-4416366
estrada||para fazenda bom jardim|vila pepita|27340500|300,-2258680,-4416552
estrada||para ribeirao de sao joaquim|nossa senhora do amparo|27310000|1201,-2237553,-4415565;1327,737,2841;1800,-786,-3668;5140,534,4202;5175,217,-218;10015,577,-3374;11000,9,4;14299,-831,439;14399,-251,354;14800,833,-707;14900,222,-58;15500,-537,3218;16101,25,-392;16200,3,-9;16201,-178,-729;16207,170,765;16267,-6,32;16447,-12,183;16720,6,-664;24200,461,570;24400,-1,7;24700,0,14
rua|capitao|catao couto junior|centro|27330790|47,-2254842,-4416420;67,16,7;71,5,4;81,22,0
rua|capitao|catao couto junior|estamparia|27330790|80,-2254816,-4416410;94,15,-16;96,8,24;101,-5,-20
rua|irma|carmelita de jesus|centro|27310360|51,-2253703,-4417821;52,-15,-21;53,-12,-17;54,47,10;56,-20,24;57,-19,-5;58,26,-9;59,-34,25;60,44,-30;66,-32,-8;70,-2,2;71,1,11;73,-8,10;75,-1,-24;80,0,18;82,-8,-6;90,12,1;119,-31,-24;120,1,-1;121,-8,-6;122,-15,25;125,6,-17;131,-13,-13;133,12,-3;136,-4,14;138,-2,-4;140,10,-12;142,-16,13;144,4,-3;147,5,6;150,-10,-24;152,-1,14;155,-4,-3;159,-4,-1;160,1,-2;165,-8,0;168,0,8;169,-6,-12;172,3,3;178,-6,-11;189,-11,-21;200,-15,5;201,-14,94;204,8,-91;205,5,6;213,-5,-9;215,-7,5;219,-6,5;299,101,42
rua|sao|joao|ano bom|27321270|35,-2254131,-4415449;43,7,-7;55,4,-4;65,10,-6;75,7,0;85,-4,3;95,16,-5;97,0,2;107,3,-6;135,25,-25;137,-4,-11;307,89,-90;309,-21,-18;311,37,20;313,-70,-38;315,8,-2;316,-14,-17;319,68,59;323,16,-26;375,14,-7;385,8,-26
rua|sao|joao|ano bom|27325150|20,-2253928,-4415569;40,-2,17;52,-206,105;60,225,-99;62,-221,101;72,2,-5;80,230,-91;92,-204,77;94,-3,1;96,5,-5;98,4,-6;100,200,-60;112,-191,57;118,13,-1;120,8,-11;126,2,-4;130,16,-15;170,13,-2;178,22,37;180,-17,-37;190,10,-4;200,7,-8;210,10,-18;216,6,2;222,2,-8;224,-3,5;226,17,-25;290,8,-9;300,11,-7;320,36,-3;340,-25,-19;342,24,-13;362,6,-33;375,-16,-4;385,20,-36
