alameda||das laranjeiras|parque sao vicente|26172140|1,-2272724,-4336920;2,-138,95;3,-5,6;4,10,-24;5,-17,20;7,-10,7;8,33,-17;9,41,-28;10,48,-46;11,-37,38;12,-21,21;13,34,-24;14,-31,10;15,16,-11;22,63,-42;23,-11,9;26,-138,97;50,-14,5;51,16,-6;123,186,-120;180,-78,45
avenida||beira linha|lote xv|26175125|103,-2271346,-4332283;106,5,4;107,1,11
avenida||beira linha|miguel couto|26157579|27,-2270255,-4342027;52,86,96;53,3,-4;54,5,15;55,11,9;56,-1,2;57,13,4;58,6,14;60,11,4;63,10,5;64,29,31;65,-7,-7;74,-278,-358;75,-40,-82;93,351,476;96,-14,-4;180,-319,-472;181,3,14;182,-7,-2;184,6,11;186,-2,5;188,-9,23;190,19,7;194,17,13;206,-23,-10;315,11,17;316,-3,6;317,-6,-16;318,56,84;330,-43,-50;332,96,114;338,-86,-104;342,0,13;350,-1,-2;352,4,-1;364,9,5;370,-32,-53;374,31,65;386,11,9;398,10,20;402,23,5;410,-17,19;420,-7,-17;426,13,25;430,2,1;450,3,3;451,0,1;452,9,12;456,-20,-30;460,12,29;470,13,2;486,-2,5;490,11,15;495,5,-7;497,2,5;500,-6,0;510,11,17;520,12,1;525,0,-3;530,12,19;550,4,5;576,3,10;578,5,7;580,0,2;590,16,15;615,11,5;630,3,12;650,6,7;672,7,9;674,4,1;690,10,11;700,8,4;710,-40,-38;750,39,35
avenida||beira linha|miguel couto|26183403|10,-2270014,-4341722;33,7,15;78,68,477;80,-28,-276;133,-29,-171;1310,61,321;1330,-25,-123;1340,6,4;1345,-10,-34;1350,15,47;1352,-1,25;1400,11,62;1420,5,74;1426,-2,-9;1428,0,-49;1430,-10,-39;1434,2,-6
avenida||joaquim da costa lima|apolo xi|26175007|14206,-2271628,-4332903;14207,44,26;14870,11,4
avenida||joaquim da costa lima|bairro maria|26183255|610,-2271794,-4333105;948,-14,-33;950,3,12;1345,15,16
avenida||joaquim da costa lima|bairro wona|26175007|9,-2272959,-4334326;16,131,226;17,-28,60;198,-137,-341;200,10,8;204,15,23;208,282,415;266,13,-1;605,-342,-488;800,549,485;1354,-239,-7;4601,-103,-108;4800,6,12;4810,19,22;5400,5,21;5735,-111,-163;6402,418,226;9298,-370,-168
avenida||joaquim da costa lima|bairro wona|26183255|500,-2272308,-4333938
avenida||joaquim da costa lima|centro|26112055|13,-2276044,-4340341;35,8,7;48,2,12;51,10,4;58,-3,-3;63,6,4;71,-2,13;72,-12,8;73,14,-4;78,-2,16;81,51,26;84,-43,-25;97,-5,12;121,15,1;123,0,14;132,16,42;141,-15,-30;155,12,11;165,14,-8;166,-1,21;175,1,2;183,6,3;185,3,10;203,7,-7;213,11,19;217,21,-19
avenida||joaquim da costa lima|centro|26175007|104,-2275954,-4340183;138,-4,-6;140,49,47;276,-45,-46;286,1,14;429,194,56;431,-10,2
avenida||joaquim da costa lima|das gracas|26175007|6,-2275401,-4339788;7,6,6;11,36,8;13,31,21;14,-3,12;15,10,-7;16,-9,-3;185,-8,-3;246,-10,-8;356,-317,-303;394,-137,-47;396,-11,-14;402,5,-2;404,-9,17;406,10,-7;410,9,-11;416,0,16;424,6,-3;436,20,-3;438,-7,2;448,13,11;466,11,1;492,21,28;504,13,-19;516,16,8;534,16,7;576,29,27;586,3,11;590,7,12;618,-43,-54;628,94,112;654,-31,-26;658,25,19;664,-9,-3;716,20,39;728,6,12;734,-10,22;754,23,-4;758,7,6;774,18,15;780,13,10;782,-3,-9;800,10,8;812,10,1;818,9,-3;822,1,11;824,-3,6;842,2,21;850,21,17;900,21,-6;902,5,3;906,11,19;908,13,28;926,17,-5;936,13,8;966,138,79;1083,90,50;1088,-2,8;1150,-93,-71;1154,-114,-172;1160,120,171;1180,16,20;2480,117,97
avenida||joaquim da costa lima|hiterland|26115085|1893,-2274329,-4339192;1897,11,2;2265,5,-4;2267,4,6;2271,7,7;2340,93,70;2415,-44,-28;2490,-2,-6;2713,-35,-29;2723,-2,1
avenida||joaquim da costa lima|hiterland|26115315|1916,-2273975,-4338904;1918,7,7;1920,3,-1;2511,-17,-21;2610,57,95;2630,16,33;2660,18,15
avenida||joaquim da costa lima|hiterland|26175007|1275,-2273914,-4338813;2677,-64,-109;2678,12,15;2679,7,26;2929,60,95;2931,25,33;2945,11,13;2947,1,8;2968,0,12;2969,3,3;2971,7,3;2981,20,20
avenida||joaquim da costa lima|jardim almo|26175007|6,-2275681,-4340083;33,43,52;331,-64,-46;335,8,17;337,2,-13;339,-37,-25;351,18,13;357,44,19;367,4,12;493,8,5;605,12,11;623,17,22;633,-8,-4;643,18,12;653,1,-1;663,0,22;683,15,16;685,-10,6;693,23,-14;697,-5,15;701,10,6;961,-30,-23;967,2,0;1463,24,36;1464,16,26
