avenida||pio xii|saracuruna|25220720|3,-2268109,-4323703;7,7,13;10,28,20
beco||nr 29 da estrada de xerem|mantiquira|25245390|4,-2258685,-4330596;9,1,-1;29,2,6
beco||nr 29 da estrada de xerem|mantiquira|25245802|25,-2258685,-4330572
beco||x|mantiquira|25250000|1240,-2258100,-4329490
estrada||de xerem|mantiquira|25245390|9,-2258633,-4330557;15,-58,18;25,25,9;35,13,-10;45,9,-4;63,27,-15;64,4,7;65,-8,1;69,-74,40
estrada||de xerem|pedreira|25241390|24,-2258018,-4330612;33,87,33;34,-25,-7;35,4,12;36,66,8;37,-65,4;38,-2,-2;39,-4,6;41,5,0;43,-12,5;45,44,-52;46,60,42;47,-310,-68;56,344,70;74,-153,-49;80,129,123;99,-40,-102;131,40,17;325,44,-4;346,43,-3;348,-14,-3;390,-16,13;440,-67,-25;451,34,29;660,50,-17;1429,-395,-59;1430,-11,-10;2105,134,38
estrada||de xerem|xerem|25241390|3,-2258065,-4330626;18,-55,2;31,-26,-12;40,52,12;41,0,4;47,-61,-24;534,34,14;536,19,0;1001,-37,0;1004,-278,-21;2103,361,30
estrada||de xerem|xerem|25245390|1999,-2257141,-4331204
estrada||xerem|mantiquira|25241390|37,-2258392,-4330661;39,31,-17;64,22,-1;90,14,-10;91,-10,3;92,-10,2;101,-9,8;104,116,33;113,-177,-6;535,109,-34;537,29,10;1011,23,-14;1017,-118,48;1999,-77,0
estrada||xerem|mantiquira|25245390|34,-2258655,-4330544;502,-32,28
estrada||xerem|xerem|25241390|1,-2257138,-4331136;2,-1011,491;6,1017,-589;8,-896,633;12,851,-412;13,-882,392;20,443,-14;21,-205,4;22,-189,11;23,35,-5;38,-124,-3;43,-20,-8;44,89,14;48,230,33;53,-240,-39;54,356,35;61,34,-19;75,138,-96;77,8,-1;79,-140,88;100,493,-413;102,-836,415;105,860,-657;107,-362,560;109,26,-29;111,-488,128;112,517,-152;117,-24,18;121,316,-294;125,0,-203;127,2,195;133,14,-202;145,-479,610;147,-1,5;149,128,-87;174,360,-536;193,-414,575;195,11,-10;197,-8,8;200,329,-299;218,12,3;315,-237,209;347,-259,195;365,-10,-19;385,17,21;395,0,-13;417,-3,-28;419,12,26;435,52,-29;437,-27,-12;480,485,-383;500,-114,102;508,-218,252;527,-24,-44;528,-182,131;547,214,-153;555,9,-9;557,23,-11;558,-9,9;568,10,-9;575,158,-133;585,-129,105;595,22,-25;605,2,-7;615,13,-7;645,15,-51;670,56,-8;672,-70,67;708,108,-111;772,-51,24;774,28,-16;775,-287,256;778,277,-246;779,-270,243;780,31,-16;781,46,-43;783,-54,43;784,281,-248;786,7,-6;787,-286,249;788,292,-253;789,-275,243;791,5,-3;800,320,-274;802,2,3;810,10,-15;815,-364,319;816,89,-70;817,8,-6;840,295,-275;842,-246,253;844,8,-19;846,4,-8;848,16,-21;849,5,-8;850,-17,19;851,31,-40;852,14,-3;853,-17,13;857,9,-20;860,200,-179;864,-182,169;865,48,-61;866,-43,56;867,189,-180;868,-177,164;870,9,3;878,98,-79;881,-38,23;885,111,-149;888,16,-18;890,-2,-20;901,-106,184;910,105,-147;916,-151,164;927,118,-88;940,24,-168;950,2,-18;995,11,-34;997,-100,273;998,-9,12;999,75,-87;1000,-53,50;1001,9,16;1003,-296,244;1005,19,-4;1006,257,-212;1007,14,-27;1009,4,-42;1010,65,7;1013,-867,371;1015,779,-381;1025,-110,153;1026,95,-76;1227,-289,238;1322,140,-106;1323,-5,1;1345,45,-72;1425,179,-127;1428,45,-75;1429,-12,-54;1430,9,61;1470,-53,82;1754,-158,112
estrada||xerem|xerem|25245390|17,-2257582,-4330657;50,-50,43;51,-36,27;57,43,-32;59,-61,33;270,-1,8;356,98,-68;444,-24,17;457,-30,32;484,74,-61;496,-85,60;768,36,-46;770,34,-7;782,27,-18;790,-44,47;871,275,-276;873,9,0;875,7,-6;877,8,-11;883,7,5;887,-3,2;1012,-25,12;1217,-242,228
rua||fontora xavier|vila operaria|25080190|25,-2278678,-4329912;184,-15,26;207,4,-13;405,-21,13;435,25,-17
rua||joao ximenes|parada morabi|25265000|37,-2265802,-4322903
rua||projetada x|parque equitativa|25260492|19,-2263119,-4325916;23,7,-18
rua||xx|jardim anhanga|25264686|24,-2264743,-4324596;35,-25,34;56,-147,175
rua||xy|jardim anhanga|25264548|12,-2264801,-4324607;23,-63,45;37,-12,16;69,-159,226;73,73,-113
rua||x|jardim imbarie|25271670|10,-2262990,-4322025;11,2,-18;20,3,10;21,-4,-8;30,14,-16;31,-8,10;40,12,3;41,0,-10;50,5,4;51,-9,-12;60,9,-4;61,-4,-1;70,13,-3;71,-17,-14;80,24,13;81,-4,-17;90,20,5;91,-20,-11;100,20,4;101,-8,-11;110,11,3;111,-9,0;120,11,-15;121,-17,-14;130,24,7;131,-7,0;140,16,-16;141,-13,-6;150,10,8;151,-4,-5;160,29,-11;161,-29,0;170,18,-1;171,-10,1;180,23,-12;181,-12,-1
travessa||xavier|mantiquira|25250492|11,-2258671,-4330672;15,-7,15;18,5,7;20,-13,7;25,-4,-1;30,-4,6;35,3,-9;37,21,-11;40,61,56
