alameda||isabelinha|jardim nazareno|25936200|22,-2260550,-4319472;26,25,-38;50,-10,27;59,3,-26;60,7,7;72,6,-6;84,1,-6;96,10,-10;107,2,-20;118,13,-5;127,14,-30;144,-5,11;166,10,-15;167,5,-10;181,8,-15
avenida|dom|pedro ii|guia de pacobaiba|25924290|44,-2267096,-4316975;86,-393,969;177,283,-1192;187,43,118;191,-78,-205;210,201,365;441,71,74
avenida|dom|pedro ii|maua|25924290|33,-2267229,-4317363;34,22,-25;35,118,-92
avenida||do imperador|guia de pacobaiba|25926532|107,-2270768,-4314868;187,-13,-93;227,-4,-45;249,11,-1;259,0,-15;281,-15,-35;847,30,56;980,-21,22;1010,6,37
avenida||do imperador|guia de pacobaiba|25926690|5,-2271020,-4316315;7,-8,-17;8,-1,-7;11,-327,-529;12,311,458;25,116,676;32,-494,-1306;47,13,43;51,292,477;57,66,115;83,-340,-520;110,-4,-51;117,345,590;119,-351,-575;129,6,-3;134,637,2085;159,-650,-2110;169,-1,-8;201,542,1293;206,-559,-1350;213,568,1365;223,-228,-759;240,317,1439;248,-119,-794;250,124,778;270,-670,-2025;272,668,2012;287,1,73;288,-7,16;292,-601,-1982;294,-81,-186;303,-20,-11;313,-13,-2;319,1,-31;331,-7,-6;333,1,-5;363,-7,-18;385,-22,-46;400,748,2094;406,-2,-11;410,-738,-2089;475,-34,-60;479,-10,4;480,23,-12;487,-9,0;588,757,1944;590,-1,4;625,0,77;668,-10,-146;718,-9,-49;799,-50,-183;803,-6,-5;804,2,6;819,-4,-19;820,4,-2;829,-6,-2;839,-1,-5;849,-5,-11;859,2,-7;909,2,-45;917,-14,-37;919,5,27;920,7,19;930,-2,-3;950,-7,-35;983,-18,-55;1023,-6,-12;1034,6,-28;1043,-1,9;1053,-5,-10;1063,-1,-14;1070,5,-10;1083,-12,-11;1085,148,1036;1174,-149,-1063;2003,-1,-6;2011,-6,-12;2051,-4,-17;2053,-4,-22;2063,-7,-11;2071,-1,-6;2079,-3,-4;2087,-4,-19;2093,-3,-13;2115,-4,-7;2125,-5,-20;2131,0,0;2133,-7,-19;2153,-4,-20;2173,-4,-10;2183,-1,-15;2184,17,-12;2188,-20,-26;2193,-4,23;2223,-9,-25;2234,2,-36;2241,-7,17;2255,-1,-11;2265,-2,-8;2269,-6,-23;2280,-1,-2;2311,-6,-16;2323,-4,-16;2341,-6,-13;2343,-2,-5;2351,-2,1;2352,8,-1;2361,-14,-14;2381,-3,-14;2391,-2,-10;2412,9,-24;2421,-30,-11;2431,0,-15;2433,10,36;2435,-6,-6;2441,-5,-36;2503,-21,-37;2513,-2,-3;2524,8,-7;2527,-56,-101;2534,47,73;2543,-15,2;2544,9,-10;2563,-15,-9;2564,102,253;2594,-98,-269;2595,-12,-4;2705,-42,-89;2719,-11,-13;2876,151,326;3048,-331,-588;3069,-15,-29;3079,-7,-3;3091,0,-2;3099,-7,-8;3114,12,-22;3115,-12,16;3121,-9,-12;3139,-6,-12;3149,1,-8;3150,9,-18;3159,-14,12;3178,0,-12;3192,-3,-20;3197,-7,13;3252,-12,-37;3261,-13,-18;3271,-1,-1;3281,-3,-5;3292,-34,-86;3297,25,66;3303,5,0;3308,-8,-2;3325,-8,-18;3328,11,4;3335,-6,-8;3336,-21,-36;3340,-113,-230;3345,127,250;3359,-3,-6;3364,-1,-8;3371,-9,5;3376,2,-28;3385,-7,5;3456,-26,-68;3465,-2,5;3468,5,-17;3491,-16,0;3506,5,-11;3507,-12,-3;3512,9,-8;3517,-15,0;3537,-12,-28;3547,0,-13;3557,-4,1;3567,-16,-2;3568,22,-10;3577,-16,-7;3621,-4,-30;3641,-8,-12;3652,7,-5;6012,156,303
avenida||imperador|guia de pacobaiba|25926393|20,-2270771,-4314754;30,-9,-3;40,-4,4;50,-6,-4;555,-796,-2623;569,-54,-119;571,33,117;583,-8,-13;603,14,-17;644,-54,-86;675,25,38;691,11,22;719,-36,-70;725,-3,1;735,2,-16;747,-2,-17;1002,891,2724;1082,2,16;1190,0,16;3731,-830,-2600;3775,-4,-20;3785,-9,-21;3791,3,2;3793,0,-9;3797,-8,0;3933,-52,-106;3957,-3,-18;3967,-1,-6;3977,-16,-19;4007,1,-18;4017,-6,-1
avenida||imperador|guia de pacobaiba|25926690|30,-2270758,-4314792;40,6,-5;60,-4,-23;73,-6,-12;601,-829,-2570;604,-16,-20;610,6,-6;908,841,2595;1000,-851,-2615;1310,28,38;1314,810,2643;3710,-812,-2634;3852,-28,-68;3854,-14,-20
avenida||independencia|ipiranga|25907632|35,-2271567,-4319866;197,-100,-15
avenida||uniao industria|parque estrela|25938240|56,-2265362,-4320424;321,298,-191;331,-9,5;430,-93,62;639,-222,145;690,-25,28;748,-63,60;782,-52,14;825,-16,-3
estrada||real estrela ou uniao industria|parque estrela 2|25938240|85,-2264571,-4320668;3097,90,16;3687,-53,-8;3699,55,8;3997,-7,6
estrada||real estrela ou uniao industria|parque estrela|25938240|25,-2264035,-4320535;90,-326,-94;313,170,62;3705,-233,-77;3721,-12,-2
