alameda||pedrinho|jardim nazareno|25936035|90,-2260325,-4319196;125,9,-18;128,9,-6;137,-4,-10;151,14,-18;173,11,-17;194,8,4;195,6,-25;207,4,-13;218,12,0;219,-11,0;221,21,-27;222,-2,10;228,1,5
assentamento||vale dos passarinhos|assentamento petrobras|25922032|89,-2267358,-4314676;90,2,11;91,1,8;169,-3,-44;220,-101,457;250,-24,-98
avenida|nossa senhora|da piedade|jardim nossa senhora da piedade|25901094|9,-2266350,-4303310;25,-4,4;29,-8,10;37,-40,34;75,16,33
avenida|nossa senhora|da piedade|vila esperanca|25901094|10036,-2266582,-4302810;10046,-5,-10;10056,18,-10;10066,-1,-8;10076,0,-14;10082,13,-11
avenida||aristides portugal|ilha|25917090|13,-2259528,-4317229;205,-63,-74;233,-5,2
avenida||aristides portugal|ilha|25932635|31,-2259640,-4317156
avenida||aristides portugal|ilha|25932650|3,-2259624,-4317209;4,-9,-6;5,-5,4;6,-15,2;20,27,224;25,33,-365;26,-14,46;31,-1,177;57,1,-46;131,38,-224;141,-13,-1;155,6,22;164,-11,-4;200,0,39;205,-2,11;210,-5,-1;220,20,-1;222,-20,20;242,-15,20;252,9,28;292,-7,24;302,-3,15;357,5,64;507,-16,184
avenida||aristides portugal|pau grande|25932650|40,-2259581,-4317487;95,0,49
avenida||isabel de paula|surui|25922492|42,-2265842,-4312878;58,2,-6;79,-74,65;100,127,23;125,-45,-2;126,-2,-6;173,-52,-14;225,-54,-3;235,-1,-3;237,-61,-23;269,24,12;281,2,-17;285,-75,0;299,-15,2;311,-2,1;366,-151,-43;371,146,40;380,-63,-21;381,43,26;394,-136,-49;395,130,37;429,-45,-4;437,-62,-31;441,51,24;442,9,-8;453,-12,0;466,-17,2;508,-18,-25;509,-10,6;516,-17,14
avenida||izabel de paula|surui|25922492|246,-2265978,-4312831;248,-15,6;258,-9,-9;262,-12,-5;348,-43,-14;360,-9,-1;396,-28,-6
avenida||nilo pecanha|surui|25922188|25,-2266523,-4312573;36,31,136;41,-32,-134;46,32,133;50,-1,1;58,1,0;60,-2,2;67,-54,-138;70,58,137
avenida||paris|parque boneville|25907040|74,-2265139,-4308869;82,13,-1;84,4,4;85,3,-13;86,-3,7;99,28,-15;100,-5,1;111,23,-16;112,18,-9
avenida||paulista|surui|25922632|4,-2266713,-4311347;5,-34,325;69,23,-294;80,-106,509
avenida||principal|conceicao|25920580|100,-2264796,-4312179;460,-26,128;462,10,-103;510,-2,43;512,-2,-1;559,10,-84;560,10,8;579,-3,-58;600,10,-8
avenida||principal|mage|25920580|63,-2264882,-4311801;119,9,12;145,13,-70;175,2,-73;321,13,-48
beco|capitao|jose de paula|surui|25922440|15,-2266247,-4313220;17,-11,-10;95,36,10;105,1,3;115,-18,-28;122,2,26
beco|capitao|jose de paula|surui|25922444|9,-2266256,-4313201;10,0,-3;11,-4,4;27,30,52;29,2,-7;41,3,-8;43,0,-14;53,-6,-3;65,10,-16;67,-9,-7;75,12,-14;663,-21,90;664,7,-11
beco||do paiva|surui|25922312|3,-2266359,-4312469;8,-7,13;33,-1,-13;37,-48,-27;39,35,23;47,-34,-27;60,14,17;73,-31,1;81,8,-15;83,23,11;90,-30,-12;127,-18,-3;134,-12,-15;135,2,-10;157,-34,5;254,22,7;352,-3,-8
beco||maria patrocinia|raiz da serra|25933760|20,-2256982,-4318239;22,12,22
beco||profeta|surui|25922460|4,-2266178,-4312588;33,5,-21;99,-2,14
caminho||da estrada da porteira preta|conceicao|25931132|12,-2260463,-4311324
entrada||luis galdino pinald|barbuda|25900670|3,-2266884,-4303885;121,-1,19;744,3,-45;930,-1,17;999,9,-18
estrada|nossa senhora|da piedade|piedade|25905860|10,-2266170,-4305030;77,-51,-63;178,67,100;287,-46,-68;930,108,228;936,18,30;971,4,3;995,-61,-127;1030,36,79;1063,-29,-61;1240,-4,-28;1243,-10,-8;1249,-9,-11;1257,18,32;1281,-25,-54;1539,-38,-76;1559,-13,-17;1569,-8,-12
estrada||antiga da piedade|piedade|25900001|45,-2265985,-4305697;564,153,-45;12995,2,61
