acesso||ao monte das oliveiras|vila sao teodoro|26025340|257,-2273024,-4343469
alameda||oitis|parque flora|26041010|11,-2271418,-4345502;15,1,10;37,26,1;45,14,-3;65,9,-4;70,-4,12;85,33,-15;90,6,5;95,-2,-5;100,21,3;105,-20,-3;110,28,3;115,-21,-2;140,39,11;160,14,4;171,-3,-23;181,16,14;201,10,7;221,11,3;230,9,15;231,-5,-3;240,17,-9;241,3,-2;260,6,5;261,21,-7
avenida||francisco de oliveira|jardim canaa|26263250|16,-2275359,-4347892;42,471,-41;46,-6,-2;49,15,3;51,-30,8;52,6,-18;55,-9,17;65,-17,-5;66,18,-5;67,29,-3;72,-38,7;77,-6,11;86,-7,-17;87,2,9;107,-26,-5;117,-4,13;118,0,-10;127,-8,12;128,2,-12;136,-4,0;137,-3,9;138,3,-9;139,-10,12;147,-3,8;148,2,-17;162,-3,0;173,-27,11;183,-7,0;184,-10,-3;191,-2,9;193,-1,-2;205,-10,-3;206,1,-4;208,-7,1;215,-2,-3;220,-3,1;233,-2,10;243,-13,4;250,-17,-9;253,2,1;265,-2,4;269,-10,0;270,-5,-8;275,0,13;280,-9,-9;290,-13,6;300,-6,2;303,10,-3;313,-8,7;324,-18,-14;334,-17,3;344,-2,4;354,-10,-3;364,-12,-1;365,-207,22;368,206,-25;369,3,14;374,-15,-10;379,-6,8;384,-10,-8;389,5,13;399,-4,0;410,-7,-6;411,3,1;412,-11,-23;419,-6,19;420,2,1;430,-11,-3;431,4,-1;433,-6,9;435,-1,3;440,0,-11;442,-1,-1;471,385,-34;484,-425,38;494,-11,2;502,-12,13;504,0,-13;509,7,3;519,-20,8;529,-2,-7;534,-13,-9;539,5,14;549,-11,3;558,-12,-19;568,-9,12;569,5,9;577,-5,-5;578,-6,0;579,-9,4;588,-4,-10;598,-7,0;608,-16,-3
avenida||olinda|adrianopolis|26053121|2213,-2265383,-4346919;2526,80,-219;2535,10,-36;2536,-1,-27;2540,-4,-9;3200,-375,-1402
avenida||olinda|adrianopolis|26055010|45,-2266276,-4345687;610,-206,278;640,22,-29;740,70,-55;840,50,-52
avenida||olinda|jardim cachoeira|26053121|40,-2265609,-4346565;579,-52,84;1678,27,-1;1679,-24,7;1691,0,-3;1703,5,-15;1715,8,-26;1717,24,-17;1807,26,-48;1841,12,-22;1895,30,-48;1897,-31,65;1905,41,-88;1915,12,-23;1925,15,13;1953,-4,-16;1967,8,-9;1968,6,-14;1976,-24,70;1978,36,-51;1995,8,-40;2031,7,-25;2065,19,-23;2234,95,-144;2320,43,-69;2340,-1,-20;2360,2,3;2366,5,-23;2372,16,-42;2410,5,-44;2420,46,-57;2525,-41,43;2535,3,-33
avenida||olinda|jardim cachoeira|26053510|286,-2265439,-4347484;804,12,27;2373,4,55;2387,-21,5;2431,123,311;2433,12,-15;2445,10,-42;2468,-50,-210;2485,50,207;2533,-1,-44;2571,-4,-42;2591,-8,-18;2610,-3,-15;2629,-11,-22;2639,-15,-26;2661,-7,-13;2729,-26,-33;2739,0,-6;2762,-20,-41;2763,-16,-18;2764,-10,-14;2782,-1,41;2799,-54,-15;2803,55,-28;2809,-13,-24;2873,-22,-32;2991,2,-12;3001,-7,-6;3005,-42,-69;3007,-18,-115;3009,10,-47;3325,15,-143;3343,-31,-48;3445,1,14;3495,-191,-485;9992,328,1027
avenida||olinda|jardim cachoeira|26055010|32,-2265929,-4346035;33,-9,14;34,16,-31;45,-275,375;46,47,-46;47,16,-31;222,182,-237;224,4,-16;225,-14,39;226,60,-111;227,-40,65;228,45,-77;232,-11,25;1003,-211,319;1005,109,-160;1007,5,-15
avenida||olinda|jardim cachoeira|26063140|2370,-2265303,-4347071
avenida||olinda|nova brasilia|26053310|100,-2266708,-4345492
avenida||olinda|nova brasilia|26055010|500,-2266642,-4345170;501,5,-5;503,6,-20;504,3,-9;505,1,-6;508,12,-37;509,5,-9;510,0,-6;511,2,-8
