acesso||rua d|paraiso|27536015|56,-2245524,-4442706;75,3,7;85,5,22;86,-12,1;95,13,5;106,-5,6
avenida||dois|vila isabel|27525542|112,-2247323,-4450258;130,34,94;138,-1,-13;146,-1,-7;154,-2,-4;162,-5,-12;170,0,0;178,-7,-10;186,1,-7;194,-2,-5;202,-7,-5;210,-2,-10;218,-4,-7;226,-1,-6;262,-14,-30;270,-2,-10;278,-4,-6;286,-1,-5
avenida||d|jardim alianca ii|27525822|597,-2248821,-4450684;609,-9,0
avenida||d|jardim alianca ii|27525825|11,-2248350,-4450826;19,-261,72;24,-303,104;34,619,-194;50,-18,2;58,0,3;90,-32,17;106,-19,-1;114,-2,-3;122,-3,8;146,-26,5;170,-24,0;178,-248,88;186,239,-81;187,-143,56;194,129,-53;202,-4,3;210,-5,0;218,-5,-4;226,-11,9;234,-2,1;242,-9,1;250,-13,6;286,-22,15;294,-9,-7;302,-10,3;310,-5,-1;315,-17,9;318,10,-4;325,-8,17;326,6,-15;334,-14,2;342,-13,2;350,4,0;366,-16,8;374,1,-5;382,-15,2;390,2,4;406,-27,10;414,-6,3;422,-4,-6;430,-9,6;438,-3,4;446,-6,1;454,-3,-2;470,-21,9;486,-12,1;540,-12,7;555,-74,31;556,61,-31;557,-71,34;572,57,-27;580,-3,-4;604,-28,10;612,-7,2;620,-7,3;628,-8,5;636,-21,5;644,8,-6;662,-2,-1;668,-25,15;676,3,-4;684,-12,-3;692,-1,15;700,-9,-6;708,-11,7;716,0,-5;748,-32,13;750,3,1;756,-8,2;758,2,0;764,-11,-1;772,0,2;780,-12,2;788,-2,-2;796,-13,5;804,-9,6;812,-7,0;820,-6,3;828,-9,4;836,0,-2;860,-28,7;867,-85,33;868,79,-35;869,-78,37;876,74,-35;890,-10,9;892,2,-6;904,-13,14;918,-11,-4;920,-5,0;921,-89,36;958,54,-27;960,-10,2;974,-2,3;978,-7,0;988,-3,4;1002,-9,4;1008,-11,6;1016,-3,3;1022,-2,0;1026,-12,3;1030,-6,-2;1038,-9,1;1044,-6,1;1058,-5,2;1062,-4,4;1072,-10,-3;1076,-2,1;1086,-11,9
avenida||d|jardim alianca ii|27525849|825,-2249018,-4450624
avenida||d|jardim alianca|27534100|23,-2248283,-4450842;31,-12,4;47,-10,3;55,-10,2
avenida||fausto barbosa diniz|nova resende|27521754|170,-2248517,-4449315;250,38,12;260,-13,-4;270,-10,-4;280,-21,10;300,55,11;310,13,2;359,60,0;363,13,2;365,3,-2;367,12,6;371,5,5
avenida||marcilio dias|jardim jalisco|27510080|10,-2246695,-4445297;18,1,-19;26,16,-2;32,-4,-13;56,-5,-6;58,8,-13;149,18,-72;155,32,-16;165,19,4;183,-21,-39;256,40,-43;265,-49,-48;345,82,-35;381,4,-25;385,-11,-19;417,13,-7;435,-1,-18;465,-9,-41;468,46,27;501,-4,-40;550,52,-84;551,-43,54;563,11,-5;577,1,-35;589,7,-15;593,2,1;595,-3,9;655,46,-61;673,17,26
avenida||marcilio dias|vila liberdade|27510080|1188,-2246222,-4446396;1203,-15,15;1211,-1,-7;1221,5,-5;1231,2,-11;1239,3,-8;1253,5,-9;1259,3,-13;1265,4,-7;1279,7,-8;1285,9,-9;1295,-6,-3;1301,2,-6;1311,11,-9;1325,5,-17;1337,4,-8;1345,1,-9;1351,1,-2;1371,3,-10
avenida||marcilio dias|vila nova liberdade|27510080|264,-2246319,-4446176;800,-57,141;900,18,-29;927,6,-57;935,11,-16;936,-3,7;937,21,-19;941,-20,1;947,3,-5;950,28,11;951,-26,-13;960,14,-6;962,1,-3;981,-8,-12;991,3,-10;1032,28,-34;1033,-10,7;1043,5,-22;1046,13,5;1060,-2,-14;1069,1,-10;1070,10,-10;1077,-5,15;1081,4,-34;1086,4,14;1100,4,-12;1115,2,-16;1122,8,-2;1124,2,-2;1130,2,-9;1131,-5,5;1140,13,-17;1141,-11,-2;1147,5,-14;1150,6,17
beco||dois|alto dos passos|27514090|127,-2247385,-4444808
