acesso||rural|serrinha|27530990|77,-2239287,-4453773;234,-23,-65;235,54,59;257,82,-45;258,9,9;259,1,6
avenida|professor|darcy ribeiro|casa da lua|27524500|13,-2249182,-4450018;1251,115,270;1275,-8,-29;1485,-118,-257;2880,20,36
avenida|professor|darcy ribeiro|nova resende|27524500|1700,-2248505,-4448995
avenida|sao|joao del rey|granja minas gerais|27540200|1,-2246060,-4439993;8,-52,-4;10,-26,-4;13,-295,-23;23,369,8;26,33,25;30,-7,-1;33,-6,16;38,-9,-26;51,-23,19;62,2,-14;63,-6,15;66,7,-30;71,-22,30;72,-45,-21;87,38,15;162,-38,-19;170,-39,-2;178,-10,-2;190,-7,4;195,0,13;206,76,-8;207,-90,3;223,-11,18;228,-2,-34;235,-19,18;258,42,-21;266,-71,-3;278,-8,-9;360,-84,8;366,-8,-15;370,-3,13;382,0,-5;395,-15,8;399,-35,-3;404,1,-19;406,23,-7;407,-14,28;465,-26,-6;555,-103,-11;567,2,-7;579,-21,18;649,-40,-16;688,-36,-22;723,-36,8;1061,148,17
avenida||hercilio rodrigues|vicentina 2|27513302|140,-2248353,-4444677;141,1,17;142,-5,1;143,2,28;145,-9,11
avenida||mercilio rodrigues|vicentina 2|27513298|4,-2248366,-4444684;6,-32,-122;10,32,-7;13,-3,221;16,12,-209;40,-98,133;56,90,-115;119,-37,-65;142,19,26;144,27,186;150,-4,20;151,-5,12;153,-24,35;154,-8,5;162,-25,13
avenida||nova resende|campos eliseos|27542130|220,-2246464,-4444903;230,-28,-38;240,31,-23;250,8,5;262,0,-18;272,10,-4;300,-10,-18;324,39,-34;340,8,-8;369,12,-13
avenida||riachuelo|vila liberdade|27510131|867,-2246422,-4446548;879,1,-4;883,7,-14;895,10,-4;907,-1,-11;911,7,-1;937,7,-35;973,8,-29;1001,15,-17;1021,4,-14;1033,22,-24;1039,-9,12;1077,15,-37;1079,6,-7;1129,19,-27
avenida||riachuelo|vila liberdade|27521171|101,-2246962,-4446206;115,17,-17;131,9,0;141,36,-7;153,14,-5;155,-4,3;157,10,5;193,30,-5;195,-21,2;201,2,1;205,32,-18;227,-4,10;251,27,-8;257,27,-2;271,22,-8;275,-37,6;285,44,-8;301,14,2;351,42,-10;357,-23,-17;403,39,14;411,15,1;413,-10,1
avenida||riachuelo|vila liberdade|27521172|20,-2247034,-4446233;21,2,29;31,8,-1;32,1,10;34,8,18;35,3,-33;46,16,-1;48,-19,38;50,14,-15;52,6,18;54,6,-32;55,-3,-14;56,5,2;98,26,10;116,22,-7;142,29,-3;152,12,4;176,36,-15;182,29,18;190,-45,-11;218,28,-1;232,5,-5;234,45,-6;240,-36,-1;256,45,2;280,25,-11;290,24,7;300,-7,-13;350,26,8;356,-9,2;376,18,-7;388,15,-5
avenida||riachuelo|vila nova liberdade|27510131|410,-2246673,-4446266;418,11,9;434,0,-6;445,14,-5;451,0,10;452,6,-6;454,6,1;462,4,2;463,-15,-7;471,23,1;480,-4,1;483,15,-9;490,21,35;499,-9,-34;519,11,-7;527,19,4;535,19,1;549,8,-7;550,-16,-1;554,-1,-3;556,-2,27;559,26,-22;570,-19,13;573,24,-20;575,11,-15;576,-9,18;577,7,-28;579,3,1;581,4,-1;627,2,-16;653,14,-28;669,0,-10;677,6,-8;685,0,-7;699,8,-17;713,2,-5;725,6,-9;741,4,-14;757,9,-14;763,3,-11;765,-2,-2;775,5,0;779,2,-19;789,2,0;801,5,-11;807,7,-10;815,-2,-2;827,5,-14;839,17,-11
avenida||riachuelo|vila nova liberdade|27510132|446,-2246515,-4446306;620,3,-11;628,10,-7;640,0,-7;656,4,-13;668,3,-15;676,8,-10;686,3,-8;700,10,-19;714,0,-2;728,6,-19;740,22,-9;754,-14,-11;760,9,-13;790,2,-14;812,17,-27;828,0,-9;838,6,-12;862,6,-18;874,13,-12;880,-1,-22;884,3,5;892,3,-6;902,-2,0;918,24,-13;936,-6,-18;946,6,-17;976,12,-33;990,4,-8;1006,13,-16;1018,1,-15;1032,3,0;1040,3,-11;1048,2,-2;1052,6,-6;1056,18,8;1068,-8,-22;1080,10,-13;1088,11,8;1098,0,-22;1108,-2,-4;1118,7,-11;1128,4,-8;1142,13,-15;1158,12,-13
avenida||rita maria ferreira da rocha|jardim jalisco|27510060|74,-2246594,-4445167;78,15,10;82,-3,15;100,-14,16;115,79,-84;161,21,-52;171,25,-4;341,21,-20;405,-50,-72;443,120,3;458,-4,1;500,30,-48
avenida||rita maria ferreira da rocha|vila liberdade|27510060|10,-2246222,-4446708;42,32,114;47,7,26;269,8,11;1112,-30,-109;1741,9,19
