beco||da rua 1|engenho d agua|12500010|2,-2286169,-4517921;4,-14,6
estrada||rio das pedras 2|estrada manoel castro guimaraes|12503839|4,-2286189,-4514566;7,-81,-70;10,0,0;11,17,18;13,63,50;14,-60,-59;16,87,87;40,-784,1247;50,-5,18;54,703,-1285;87,12,9;102,-7,4;103,-2,16;130,-4,3;136,164,57;700,-602,-251;1857,-315,1978;2000,907,-1231;3000,-691,583;4100,232,-500;4250,55,306;5000,-449,217;5051,-2,152;6500,-9,-141
estrada||rio das pedras 2|estrada municipal manoel de castro guimaraes|12503839|7200,-2287750,-4516598
estrada||rio das pedras 2|estrada rio das pedras|12503020|100,-2283015,-4517158;1313,-408,-531;1500,-62,635;1557,69,-469;1680,-111,-88;1910,122,-124;1975,-14,206;2014,-37,-92;2020,351,379;2023,-9,40;2040,-11,6;2999,-1,278;3000,-30,98
estrada||rio das pedras 2|estrada rio das pedras|12503839|7000,-2287737,-4516578
estrada||rio das pedras 2|sao jose|12503839|2,-2286092,-4514494;6,-1237,-1234;2000,593,699
rua||01|pedrinhas|12508040|1,-2276353,-4535614;2,0,4;4,-5,-13;5,-3,-23;7,1,-2;8,-2,7;9,1,8;10,-1,-4
rua||02|pedrinhas|12508040|4,-2276340,-4535610;5,1,-3;10,5,1;11,7,-6;12,2,6;13,21,-11;14,-14,7;15,25,-11;18,-18,11;20,7,-8;21,96,-36;22,-77,34;25,99,-35;93,-32,6
rua||03|pedrinhas|12508040|7,-2276223,-4535676;9,5,14
rua||1|condominio residencial santa monica|12512500|595,-2279854,-4517465
rua||1|engenho d agua|12500010|4,-2286192,-4517865;5,8,-12;6,-5,-20;7,7,23;11,13,-8;12,6,-6;13,49,-54;16,-35,36;22,112,-111;25,2,-5;26,16,8;27,2,-7;29,11,1;35,-185,127;38,220,-143;127,-181,146;516,54,-79;4969,38,-32;5105,-62,66;5115,-15,13;5119,9,-16;5122,3,-2;5125,9,-12;5126,2,-1;5129,20,-14
rua||1|jardim do vale|12520241|13,-2278212,-4518026;15,1,6;17,8,-4;19,12,7;21,-3,-12;23,10,-1;27,8,8;29,5,-7;31,10,-3;38,-56,11;39,0,0;40,2,-3;41,1,0;42,25,-3;43,13,-6;44,21,-2;45,5,-7;46,1,-1;51,1,3;55,-78,22;59,41,-16;60,47,-10;76,168,-43;78,8,-5;79,19,-1;80,10,-3;82,-1,-1;83,6,-1;101,-151,32;102,0,2;104,189,-26;105,-5,-1;106,31,3;108,-227,27;110,208,-38;112,32,-3;123,34,15;136,-297,35;137,8,-2;141,-20,9;142,6,-2
rua||1|joao daniel|12507330|2,-2281523,-4528082;3,-67,-98;5,-106,-121;6,184,129;7,-177,-126;9,277,368;10,-158,-244;15,96,178;16,-129,-208;19,28,43;25,187,230;26,-67,-276;28,20,136;30,-183,-155;32,0,2;36,166,249;42,-134,-199;44,65,89;45,7,7;46,2,10;47,6,5;48,7,13;52,-203,-256;54,35,25;110,192,272
rua||1|pingo de ouro|12510450|13,-2278317,-4525039;73,-9,-69;97,1,-8;168,-10,-68;181,-5,-7;260,-17,-98;276,12,35;279,9,88;280,-40,11;281,39,-19;285,-8,-8;288,-8,-114;290,-1,-15;303,33,240;305,-4,-5;309,-27,-2;310,4,-260;311,18,216;312,-5,-31;313,10,67;314,-5,-62;320,-29,-188;332,38,295;333,-3,-11;337,-29,-264;338,-1,-40;354,15,118;356,2,21;358,-6,-20;362,1,-6;368,8,66;373,-34,-184;376,31,157;399,-9,-15;400,2,9;401,1,3;403,-6,-27;405,-3,-28;407,1,5;412,4,-17;449,-4,-66;451,-14,-30;460,1,-75;461,-9,24;463,8,48;464,7,-47;465,-10,15;466,-11,-35;467,5,14;468,6,-21;469,-15,-2;470,9,-4;471,2,-5;480,3,-5;492,-7,28;493,6,-32;505,-12,-19;600,-18,-32;603,16,48;614,14,-28;618,0,2;622,9,-5
rua||1|residencial italia|12512500|110,-2279361,-4523797;118,5,-1;126,-1,1;134,12,5;142,3,-2;150,5,2;158,10,0;166,5,-2;173,-41,-14;174,51,9;181,-48,-11;182,50,23;189,-36,-19;190,43,27;197,-35,-28;198,38,22;205,-33,-19;206,44,17;213,-38,-19;221,9,4
rua||2|condominio residencial santa monica|12520242|2,-2279847,-4517423;3,36,-46;4,17,-14;5,13,-1
rua||2|engenho d agua|12500010|15,-2286217,-4517868;21,-4,-7;25,-4,-9;40,2,-26;59,8,-166;63,-2,13;65,-4,8;66,-12,23;70,12,143;610,-24,-130
rua||2|engenho d agua|12503790|15,-2286225,-4517865;26,-6,-22;450,-19,-101
rua||2|jardim do vale|12520242|54,-2278124,-4517720;55,13,-10;56,13,-14;60,7,-11;80,65,-46;82,42,-39;86,-162,146;88,0,4;89,12,-18;91,25,-26;92,15,-5;93,16,-18;94,23,-16;95,-14,10;97,61,-52
rua||2|joao daniel|12507330|74,-2281502,-4528120;75,6,19;76,12,2;77,104,147;78,-90,-118;88,44,58;166,-117,-198;173,-3,33
rua||2|pingo de ouro|12510450|20,-2278286,-4525248;22,3,11;31,17,58;32,-9,-19;35,7,20;37,-8,-41;38,6,-19;44,-6,-22;46,0,46;50,-16,-162;56,11,95;161,75,43;173,-11,-9;196,-52,37;237,61,22;244,-72,-84;250,72,93;256,-74,-106;285,66,19;289,4,14;299,-10,-31;303,-78,-104;364,1,-42;375,-11,-17;395,79,58;397,-3,-12;399,4,-20;401,-9,-7;403,3,-7;406,-8,-20;407,22,151;409,-8,-118;413,-16,-62;414,1,23;425,-4,-40;430,-27,181;437,53,-40;440,-61,19;443,-14,-42;446,1,-36;454,-8,0;455,1,-8;458,-2,-40;459,-5,-5;460,4,-9;461,25,-31;463,-27,65;465,0,6;507,89,159
rua||2|residencial italia|12508010|80,-2279367,-4523744;88,-1,3;95,-6,-18;96,12,17;103,-1,-12;104,17,12;111,-10,-10;112,13,14;119,-6,-14;120,11,12;127,-6,-12;128,8,12;135,1,-11;136,11,12;143,-6,-12;144,8,7;151,4,-1;152,8,6;159,-7,-7;160,11,13;167,-6,-12;168,14,11;175,-6,-11;176,11,14;183,-6,-14;191,5,0
rua||3|condominio residencial santa monica|12520240|595,-2279886,-4517500
rua||3|condominio residencial santa monica|12520243|8,-2279840,-4517504;9,17,-2;10,15,-1;11,21,-7;15,-47,8;16,17,-9;17,9,-3;18,26,-7;19,9,3;595,-104,31
rua||3|jardim do vale|12520243|37,-2278222,-4517540;38,7,-10;40,14,-7;41,-12,2;42,-11,16;43,0,-1;44,-4,0;66,291,-484;90,-146,356;92,14,-16;93,-14,14;94,37,-25;95,-34,27;96,13,-18;97,-2,6;98,16,-16;99,-6,7;100,-4,4;118,145,-191;120,30,47;143,153,-87;144,-14,3;146,-58,34;148,-42,28;149,-2,-1;151,-18,14;154,-186,152;160,53,-51;162,-18,23;163,-22,19;165,-13,19;169,-67,47;170,1,5;171,-28,26;172,18,-23;174,-39,30
rua||3|joao daniel|12507330|50,-2281476,-4528138;76,-3,-17;82,28,17;86,16,42;90,-5,2;92,44,53;100,0,3;126,32,51;270,-93,-140;272,9,16;273,0,4;300,33,50;310,9,6;320,12,23;330,26,37;339,17,22;340,17,23;341,-12,-16;350,-1,24;408,-3,-32
