acesso||arlindo silva tavares|jararaca|12614899|67094,-2280978,-4508776
alameda|capitao|joao moreira de almeida|vila passos|12605290|15,-2273870,-4509827;35,-23,19;40,-4,-19;45,4,8;67,-28,26;70,-9,-18;85,1,24;86,-7,-20;95,-2,23;100,-10,-9;105,1,22;110,-10,-20;115,-7,27;120,-7,-20;125,2,23;129,-15,12;130,10,-32;135,-4,32;140,-13,-20;145,0,19;150,-3,-16;155,-1,17;160,-14,-9;170,-9,10;180,-10,2;190,-11,4;200,-3,2;245,42,-9;251,-7,4;255,-3,1;259,-26,20;275,-57,32;276,12,1;279,17,-15;280,17,-26;281,-59,40;285,56,-26;287,3,-6;290,-14,-4;291,7,22;293,-25,0;294,27,-23;299,-57,47;304,41,-36;305,-52,38;313,-7,11;315,-7,8;334,45,-46;341,-52,46;345,-6,7;360,41,-45;365,-62,56;370,50,-53;375,-54,58;380,50,-49;385,-51,51;395,-7,3;396,47,-50;405,-51,56;406,40,-48;415,-44,47;416,34,-45;418,0,6;422,-9,3;425,-26,35;427,-57,33;435,47,-15;436,30,-49;438,-7,4;440,-3,-1;445,-30,37;455,-6,6;464,25,-36;465,-32,39;474,20,-32;475,-22,34;484,15,-27;485,-22,30;494,10,-28;495,-18,32;500,-9,10;505,4,-6;540,5,-24;544,-1,7;548,-5,5;560,-11,2;561,-8,33;570,-9,-20;571,13,9;580,-21,-2;600,-20,9;605,7,17;610,-13,-6;615,8,9;625,-6,5;630,-6,-15
alameda|professora|durvalina ferraz coutinho de castro|parque das rodovias|12605465|206,-2273501,-4509605;280,54,-30;290,-4,3;306,-8,2;308,-13,9;310,-20,12;312,28,-19;350,-48,38;356,-13,4;367,-14,13
alameda|professora|durvalina ferraz coutinho de castro|parque das rodovias|12605470|431,-2273572,-4509537;445,-1,7;447,-7,-3;449,-2,3;451,-14,5;465,-3,3;471,-8,6;481,-10,3;505,-4,4;507,-8,5;511,-4,2;513,-3,2;521,-10,7;529,-6,3;531,-8,2;541,-2,4;551,-5,4;557,-9,3;585,-23,18
alameda|professora|durvalina ferraz coutinho de castro|parque das rodovias|12605475|2,-2274057,-4509234;3,-4,6;5,825,-520;7,-10,5;9,-8,5;16,-802,507;21,786,-499;25,-2,0;35,-24,19;37,12,-10;45,-20,17;55,-8,10;65,-12,6;73,-3,-3;75,-2,6;100,-215,133;145,176,-108;155,-11,2;167,-16,7;175,-6,15;185,-5,-3;205,-20,10;225,-24,3;247,-44,41;251,28,-16;253,-20,12;255,6,-4;325,-24,7;357,-6,7;361,-7,3;363,-11,0;365,2,8;454,-63,20;456,9,2;458,-11,1;460,-8,4;464,-4,1;466,-1,2;472,-16,7;480,-2,9;484,-5,-4;488,-4,3;490,-5,3;492,0,3;520,-11,4;530,-8,8;540,-10,4;546,-11,4;550,-6,6;552,-5,6;554,-8,9;560,-3,-5;570,-9,6;580,-4,4;651,-25,30;653,-2,7;655,-10,8;657,3,-4;659,-15,12;665,6,-11;667,-33,27;677,19,-14;679,-37,21;681,-8,9;683,-9,2;689,2,2;697,-20,10;699,64,-32;700,-115,41;701,107,-45;705,-58,36;706,-71,29;707,127,-62;708,-121,60;709,58,-23;710,-50,12;713,51,-7;715,-4,-2;717,-50,32;723,-12,6;725,18,-9;727,36,-23;729,-8,7;731,-54,29;735,-3,7;737,-7,6;744,-7,-24;745,9,25;750,-18,-21;755,-3,26;760,-3,-18;775,-8,28;785,-5,10;787,-10,-5;791,-1,9;805,-16,6;811,-6,6;817,-3,0;888,28,-45;898,-11,12;908,-9,0;918,-13,14;938,-19,10;948,-3,2;952,-9,5;958,-8,4;985,43,1;1000,-47,1;1006,-1,12;1010,-11,0;1015,33,8;1027,-22,9
alameda|professora|durvalina ferraz coutinho de castro|parque das rodovias|12605480|652,-2273738,-4509449;654,-14,3;658,0,0;660,-2,-1;662,-8,3;670,-4,6;678,-6,6;680,2,-1;682,-8,2;686,-4,14;690,-95,49;692,86,-52;702,-5,6;714,-11,4;716,5,-6;718,-9,7;720,-8,9;724,3,-6;728,-6,8;730,-30,14;732,18,-11;734,0,0;736,-7,4;738,-13,10;740,-16,8
alameda|professora|durvalina ferraz coutinho de castro|parque das rodovias|12605590|88,-2273297,-4509724
alameda|professor|joao malafronte|vila passos|12605250|5,-2273804,-4509775;10,-12,-11;17,5,19;25,-8,5;27,-1,4;28,-13,-20;37,-1,24;38,-1,-17;40,-2,0;42,-6,1;46,-4,3;50,-6,9;51,12,10;53,-5,-2;54,-13,-4;55,7,8;77,-36,20;80,4,-20;81,-10,26;90,-1,-15;96,-11,3;100,-6,5;110,-6,3;114,-5,7;120,-7,3;140,-20,12;145,48,-9;150,-50,10;155,44,0;162,-57,7;164,-7,14;165,50,-22;170,-53,19;175,50,-10;180,-54,12;195,44,-1;200,-52,-2;205,45,2;230,-47,0;235,17,18;245,-4,9;250,-22,-13;255,9,10;269,-16,14;270,-4,-24;276,-12,11;277,10,15;278,-9,-20;285,63,-16;287,-63,33;289,54,-25;290,-66,14;307,-1,32;310,-14,-24;316,-14,9;320,-1,2;321,17,17;322,-21,-14;328,-16,12;331,19,10;339,-7,6;341,-14,10;351,-6,6;358,0,-27;370,-14,5
alameda||armenio gomes|parque das rodovias|12605470|25,-2273274,-4509823;59,-20,11;65,-46,21;72,-81,59;105,-36,22;323,-39,32;355,-23,12;375,-19,3;385,-6,14;395,-11,4;415,-6,11;431,-20,9;463,-18,10;467,2,5;475,-20,6;485,-18,9;495,-8,4;500,-2,3;505,-6,5;525,-6,6;545,-14,5;553,-12,6;557,-11,10;559,-5,1;569,-9,5;575,-11,8;593,-3,4;603,-6,1;607,-10,7;613,-2,4;627,-37,19;629,-21,13;636,-8,2;699,-2,6;701,-8,2;725,-8,9;731,-12,5;737,-4,2;739,-12,12;757,-1,0;767,-18,3;795,-5,-1;799,-8,10;805,0,6;815,-2,4;829,-26,8;831,-2,-4;835,18,-4
alameda||geraldo ferraz de oliveira|vila passos|12605270|105,-2273706,-4510597;111,34,-6;150,-61,27;192,-239,1076;424,376,-230;440,-10,9;448,-25,14;450,22,-15;452,-24,7;456,18,-5;458,-12,4;464,-15,16;518,-62,33;528,-2,0;540,-15,12;552,-6,7;558,-5,-5;562,-6,16;564,-8,-1;566,-10,8;582,0,5;584,-11,3;678,-10,0;680,9,1;688,-9,6;706,-49,26;714,-10,7;728,-10,4;734,-6,14;758,-16,1;760,-8,5;762,-15,13;764,-6,2;778,-12,4;800,-10,10;812,-11,3;822,-7,7;830,-10,6;880,-41,26;890,-7,5;900,-6,2;910,-10,6;930,-2,3;940,-9,3;950,-16,9;970,-23,14;980,-4,4;990,-4,0
alameda||gil inacio de andrade|parque das rodovias|12605485|9,-2273444,-4509524;10,-7,-14;15,-1,23;20,-9,-17;25,-1,31;26,-11,-23;35,-2,23;36,-8,-19;45,-3,29;46,-1,-24;47,-7,24;49,-6,4;51,-7,1;54,7,-21;56,2,7;61,-9,19;66,1,-21;76,-8,7;99,-156,99;135,137,-86;145,-2,11;148,2,-18;150,-10,8;152,9,0;154,-14,3;161,7,16;163,-18,9;166,5,-24;167,4,19;176,-14,-11;181,1,21;182,-13,10;186,3,-27;187,-9,24;189,0,7;194,0,-21;200,-7,4;204,-13,3;206,-7,6;207,12,20;213,-9,3;214,-5,-20;219,4,22;224,-13,-17;233,1,23;240,-7,-16;252,-15,5;260,-5,5;263,0,19;266,-11,-9;273,-1,18;279,3,0;280,-8,-15;285,1,20;310,-5,-2;322,-40,20;324,4,-8;325,10,8;331,-13,4;335,-1,6;351,-12,6;355,0,1;360,4,-24;362,-8,6;365,-6,26;368,-3,-21;370,25,-2;380,-30,4;390,-2,3;400,1,6;410,-20,2;420,-11,7;425,9,20;433,-12,6;437,-3,6;449,-10,0;460,5,-23;472,-14,8;476,-16,9;480,-11,11;484,1,2;488,-13,4;501,41,-3;512,-47,5;530,32,-6;541,-1,-1;543,1,3;545,-9,10;546,0,-1;547,-13,8;549,8,-3;551,-21,5;553,9,-1;555,-9,0;557,-10,18;559,-9,1;560,20,-30;561,-9,26;563,-8,2;567,1,-4;570,-2,-16;574,-2,2;585,-4,22;593,-6,6;595,0,4;600,-11,-12;610,-9,8;614,-3,-2;620,-12,3;640,6,5;645,-34,28;646,-2,-13;655,-4,27;656,6,-21;658,-9,-5;659,-3,29;661,-8,-1;664,4,-22;665,-1,22;671,-17,-1;674,40,-35;677,-36,43;678,-6,-16;688,-11,5;689,8,21;698,-15,-15;699,5,18;708,-2,-21;710,-59,42;711,50,-14;712,-21,-7;713,-23,16;715,4,0;716,38,-17;717,-9,13;718,-2,-15;719,-4,23;720,-11,-17;721,2,24;722,-1,-20;760,109,-75;764,-11,4;766,1,3;770,44,-6;771,-7,8;772,-3,-2;773,-25,15;775,13,-19;777,7,2;779,-12,11;783,-19,14
