aglomerado||rua leonidio candido mineiro|alta da caixa dagua|12620000|230,-2260822,-4517842
avenida|conselheiro|rodrigues alves|centro|12620000|8,-2260778,-4518464;10,3,0;19,19,-10;21,-4,7;22,-4,0;23,4,-6;26,6,-3;33,7,2;40,2,-5;44,0,4;45,9,-14;48,-2,14;55,2,-14;58,-2,0;68,-7,-1;69,11,2;71,6,-6;73,11,-8;74,0,12;77,3,-12;80,-8,6;83,7,-4;89,10,-6;92,-2,2;95,1,1;97,15,-17;100,-10,15;101,8,-9;108,1,0;114,0,10;119,4,-13;121,8,-9;126,-10,12;127,29,-12;128,-24,9;130,8,-1;136,-3,-2
avenida|coronel|gomes carneiro|centro|12620000|230,-2261054,-4518635;231,4,-10;232,-14,-8;233,9,-14;234,2,-7;235,-5,-7;236,4,-6;237,10,-9;238,-6,-16;239,-7,-14;240,-1,-4;241,24,-16;242,-18,-9
avenida|general|waldemar brito aquino|centro|12620000|147,-2261018,-4518430;148,-28,17;149,-7,6
avenida|general|waldemar brito aquino|vila duque de caxias|12620000|139,-2260957,-4518468;140,-9,-12;141,4,7;142,-2,-7;143,-8,7;145,-12,15;146,-22,14
avenida|major|carlos ribeiro|centro|12620000|22,-2261456,-4517795;36,1,1;48,-4,17;58,4,-2;64,-6,8;70,1,9;90,-6,21;106,0,18
avenida|major|pedro|vila celeste|12620000|39,-2261543,-4517490;47,-9,3;55,6,8;65,-3,6;72,-16,6;79,4,-2;82,5,19;85,1,2;88,-1,-2;92,-30,-4;93,25,14;100,-14,3;110,11,18;116,-8,-1;120,-7,0;132,-5,12;144,6,10;147,110,-283;152,-117,300;155,-13,-5;164,-3,-5;171,123,-264;175,-125,284;176,10,18;191,-13,-9;195,0,-1;211,109,-259;216,-123,287;222,8,4;238,-12,15;243,126,-288;254,-132,310;264,-4,2;265,1,4;273,118,-280;274,-117,295;277,-4,-1;283,110,-290;287,6,11;301,-86,202;305,78,-193;311,1,9;314,-121,283;325,117,-282
avenida|presidente|tancredo neves|braz|12620000|14,-2261278,-4518279;26,-7,19;34,-7,-1;36,-3,9;46,2,2;56,-14,10;66,-6,8;86,-5,2;150,-54,31;164,-10,5;167,-10,11;168,16,-1;180,-15,-5
avenida|presidente|tancredo neves|santa isabel|12620000|141,-2261815,-4517247;171,-7,-3;1595,-79,115;1609,1,-37;1635,-30,55;1645,4,6;1671,-12,27;1681,-9,4;1689,-15,34;1691,11,-36;2070,-230,294
avenida|presidente|tancredo neves|vila cristiana|12620000|680,-2261766,-4517286;1310,76,-72;1318,1,14;1320,-14,6;1330,-3,12;1340,-13,11;1360,-6,6;1380,-15,6;1390,-3,20;1400,-12,-12;1580,-199,108;1586,-36,-17;1596,-62,-6;1602,24,16;1604,18,-9;1606,97,44;1608,0,8;1610,-7,2;1616,-2,9;1620,-7,7;1630,-3,9;1640,-8,6;1650,7,7;1660,-47,-5;1670,29,12;1680,1,15;1690,-12,7;1700,-8,5;1708,-15,21
avenida|presidente|tancredo neves|vila eleoterio|12620000|15,-2261548,-4517750;17,-6,-7;37,103,-409;39,161,-80;45,-3,5;53,-5,5;57,-9,14;67,-253,416;73,250,-415;77,-123,205;81,-6,-1;85,-116,184;91,231,-379;103,-14,9;111,0,7;121,-226,344;141,-24,-78;145,65,-201;155,-14,9;165,-2,11;174,-16,4;220,-6,33;227,94,-86;229,-6,1;245,-122,171;287,104,-158;430,-65,47;440,-6,1;443,8,0;453,1,7;460,-13,4;463,8,5;470,-5,0;473,5,2;475,-6,9;485,-2,15;495,-9,8;505,-1,2;515,-1,7;820,19,194;870,3,43;880,3,5;890,-9,11;900,2,1;920,9,13;940,0,6
avenida|presidente|tancredo neves|vila raia|12620000|600,-2261634,-4518006
avenida||jose osmar damico|bambuzinho|12620000|10,-2259612,-4519976;570,5,-15;580,11,-5
