caminho||sem denominacao 2|distrito industrial|13877750|55,-2199837,-4680324
estrada||municipal sjb 115|nossa senhora de fatima|13872000|995,-2197552,-4682102
estrada||sjb 119|sitio sao benedito|13879899|4,-2203036,-4683896
estrada||sjb 121|rural|13870970|5,-2202853,-4674682
estrada||sp 121|rural|13874741|6,-2204700,-4675563
estrada||sp 344|rural|13876303|218,-2201394,-4683526
rodovia|dom|tomas vaquero sp 344|campo triste|13879899|219,-2201289,-4684657
rodovia|dom|tomas vaquero sp 344|distrito industrial 2|13877755|533,-2201119,-4681154;1065,-85,-538;1965,52,78
rodovia|dom|tomas vaquero sp 344|distrito industrial 2|13879899|40,-2200947,-4681701;1440,163,131;1512,-29,-67;1965,-377,-32
rodovia|dom|tomas vaquero sp 344|distrito industrial|13877776|117,-2200848,-4681264;200,-98,-50;300,-66,-22
rodovia|dom|tomas vaquero sp 344|distrito industrial|13879899|40,-2201138,-4681968
rodovia|dom|tomas vaquero sp 344|fazenda santa maria|13879899|212,-2202102,-4686311
rodovia|dom|tomas vaquero sp 344|rural|13877901|220,-2199885,-4684157;222,-518,1407
rodovia|dom|tomas vaquero sp 344|sao joao da boa vista sentido vgs|13873140|10,-2192090,-4687212
rodovia|dom|tomas vaquero sp 344|sao joao da boa vista sentido vgs|13879899|130,-2195025,-4683884
rodovia|dom|tomas vaquero sp 344|sao joao da boa vista|13872551|1,-2195912,-4680315;100,108,-152;144,-81,153;194,55,-156;222,-63,148;495,12,112;505,8,-37;600,22,-24
rodovia|dom|tomas vaquero sp 344|sao joao da boa vista|13879899|80,-2196540,-4681833
rodovia|governador|adhemar pereira de barros sp 342|distrito industrial|13877780|420,-2199644,-4679352
rodovia|governador|adhemar pereira de barros sp 342|parque das bromelias|13876250|342,-2197807,-4676436;1900,-42,-5;2170,-29,99;2290,105,72
rodovia|governador|adhemar pereira de barros sp 342|rural|13874725|243,-2202323,-4678787
rodovia|governador|adhemar pereira de barros sp 342|rural|13874738|342,-2196258,-4673535
rodovia|governador|adhemar pereira de barros sp 342|rural|13874739|342,-2205200,-4675965
rodovia|governador|adhemar pereira de barros sp 342|rural|13874740|342,-2204795,-4675490
rodovia|governador|adhemar pereira de barros sp 342|rural|13874741|342,-2203072,-4676818
rodovia|governador|adhemar pereira de barros sp 342|rural|13879899|3,-2201361,-4679669;217,-4789,-1590;218,600,1044;219,1059,-657;220,476,774;221,703,-896;223,2093,616
rodovia|governador|adhemar pereira de barros sp 342|sao joao da boa vista|13874738|1,-2195149,-4672784;3,-33,4;142,-25,328
rodovia|governador|adhemar pereira de barros sp 342|sao joao da boa vista|13879899|221,-2202996,-4679457
rodovia||br 344|sao joao da boa vista sentido vgs|13879899|440,-2189968,-4686318
