alameda||das sibipirunas|condominio morro azul|13874850|196,-2196545,-4676110;296,102,28;328,10,1;360,24,12;361,-35,-17;376,59,24;420,31,15;474,44,5;483,32,0;578,50,22;604,29,11
avenida|doutor|luiz gambeta sarmento|jardim bela vista|13871200|4,-2198237,-4679686;7,10,14;18,-14,-22;20,-1,-14;27,26,60;30,-33,-60;33,38,72;42,-43,-82;52,-4,-7;62,-3,-10;74,-7,-8;90,-5,-7;100,-5,-12;305,-116,-196;383,-86,-102;449,53,-19;451,0,-20;463,-5,-11;469,-7,-16;471,-67,86;501,61,-108;579,-29,-83;591,0,-22;605,0,4;607,0,-3;609,1,-5;621,-5,-5;631,1,-11;641,-7,-4;651,2,-9;667,0,-7;809,71,-312
avenida|doutor|luiz gambeta sarmento|jardim boa vista|13871200|2,-2198235,-4679661;6,8,12;20,0,0;27,-31,-55;31,1,-5;33,49,70;34,-15,0;39,-79,24;75,26,-125;85,-3,-12;95,-6,-8;108,2,-22;115,-7,8;125,-11,-12;128,4,-9;135,-53,0;140,59,-11;145,-17,4;148,-2,-12;155,-2,0;174,-7,-22;184,-2,-10;190,-2,-3;196,-3,-7;197,-7,4;210,7,-10;219,-14,-9;220,-2,-2;229,-8,-4;230,14,-5;231,-13,5;239,-4,-11;240,27,25;250,-23,-43;2090,9,42
avenida|doutor|luiz gambeta sarmento|jardim recanto|13871200|998,-2198580,-4680627;1010,-13,-7;1020,1,-11;1030,-1,-8;1040,-3,-15;1052,3,-14;1054,-10,-8;1094,-9,-33;1100,-2,-8;1114,-4,-7;1120,-3,-9;1130,-2,-9;1138,-1,-5;1148,-5,-16;1180,2,4;1190,-2,-5;1200,-3,0;1250,-1,-8;1401,-58,-162
avenida|doutor|luiz gambeta sarmento|jardim santa rita|13871200|262,-2198355,-4679916;270,-9,-15;280,-6,1;284,7,-10;290,-13,-7;298,0,-5;302,-8,-12;310,0,-8;320,-2,-15
avenida|doutor|luiz gambeta sarmento|santo antonio|13871200|800,-2198527,-4680449;855,-23,-43;860,3,-14;863,-7,7;870,8,-2;877,-14,-17;883,2,-10;908,60,172;921,-79,-221;930,69,183;940,-61,-181;950,53,157;995,-73,-203;1027,-11,-29;1041,2,-13;1083,-12,-21;1461,222,272;1481,-1,-11;1491,-4,-10;1500,-233,-302;1509,227,288;1511,-1,-8;1521,-2,-11
avenida|doutor|luiz gambeta sarmento|vila estrela|13871200|705,-2198501,-4680348;717,-5,-12;729,0,-17;741,-4,-5;749,5,6;769,-19,-24;785,-8,-16;809,0,-27;819,-3,-14
avenida|doutor|luiz gambeta sarmento|vila isabel|13871200|340,-2198396,-4680016;358,-1,-8;360,0,0;362,-6,-9;370,-4,-5;380,-9,-9;454,-7,-52;460,-5,-12;466,-1,-6;470,-2,-11;474,-1,-1;484,-2,-10;496,-4,-11;520,-12,-18;530,6,-21;532,-12,-1;534,6,-4;538,-6,-2;546,-2,-10;556,0,-7;576,0,-5;582,-2,-13;588,-6,0;594,-4,-18;634,-4,-23;646,-3,-5;650,-5,-13;658,2,-4;672,-6,-9;676,-4,-11;680,-1,-12;692,2,-7
avenida|doutor|oswaldo oliveira silveira|distrito industrial|13877758|525,-2200092,-4680450;555,-14,-27;600,-109,-322;604,106,253;643,-23,-22;644,8,-12;698,-25,-72;709,-6,38;710,9,-28;775,-36,-27;825,-29,-121;925,-24,-67;1010,-13,-85;1105,-33,-18;1148,-11,-78
avenida||antonio augusto tavares sibila|jardim santarem|13874348|26,-2197755,-4677224;51,-10,42;63,-1,11;75,-2,8;93,-3,18;177,-12,52;201,-4,36;211,-8,5
estrada||sjb132|rural|13873505|1513,-2192586,-4681342
